name,city,address,website,phone,rating
Gulf Shores Sports,Gulf Shores,"{'city': 'Gulf Shores', 'state': 'AL', 'coordinates': {}}",https://gulfshoressports.bookdirect.net,,
The Wharf at Orange Beach,Orange Beach,"{'street': '23101 Canal Road', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {'lat': 30.28983, 'lng': -87.63002}}",https://alwharf.com,251-224-1000,
Beach Girl At Home,Gulf Shores,"3947 AL-59, Gulf Shores, AL 36542, USA, Gulf Shores, AL",https://www.beachgirlathome.com/,(251) 223-4914,4.9
Pelican Nest RV Resort & Campground,Orange Beach,"Orange Beach, AL 36561, USA, Gulf Shores, AL",http://www.dauphinislandcampground.com/,(251) 861-2338,4.6
Gulf Coast Arts Alliance,Gulf Shores,"{'street': '225 East 24th Avenue', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {'lat': 30.277963, 'lng': -87.684716}}",http://gulfcoastartsalliance.com/,(251) 948-2627,4.7
City of Gulf Shores,Gulf Shores,"{'street': '1905 W 1st Street', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36547', 'coordinates': {'lat': 30.25, 'lng': -87.28}}",https://www.gulfshoresal.gov,251-968-2425,
Woodside Restaurant,Gulf Shores,"{'street': '20249 State Park Road', 'city': 'Gulf Shores', 'state': 'Alabama', 'zip': '36542', 'coordinates': {'lat': 30.2667117, 'lng': -87.6795341}}",https://woodsideatgsp.com,251-923-3100,4.4
The Sloop,Gulf Shores,"{'street': '103 West Canal Drive', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542'}",https://www.thesloop.biz,251-500-1007,4.7
Foley Model Train Exhibit,Gulf Shores,"127 E Laurel Ave, Foley, AL 36535, USA, Gulf Shores, AL",https://foleyrailroadmuseum.com/,(251) 943-1818,4.8
The Undertow,Orange Beach,"{'street': '25025 Canal Rd', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {}}",https://theundertow.shop,+1 251-981-3331,4.3
8 Reale,Orange Beach,"{'street': '4851 Wharf Parkway W, Suite D-112', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {}}",http://www.8realeobal.com,251-484-0712,
Icehouse Tap Room Gulf Shores,Gulf Shores,"{'street': '112 Windmill Ridge Road', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542-6422', 'coordinates': {'lat': 30.2539215, 'lng': -87.6903732}}",https://www.icehousegs.com,(251) 200-0157,
Tiki & Raw Bar Orange Beach,Orange Beach,"{'street': '27844 Canal Rd', 'city': 'Orange Beach', 'state': 'AL', 'coordinates': {}}",https://www.tikibarorangebeach.com,251-277-4800,
SanRoc Cay Marina,Orange Beach,"{'street': '27267 Perdido Beach Blvd', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {}}",https://sanroccay.com/,(251) 980-0016,
Sea N Suds - Restaurant and Oyster Bar,Gulf Shores,"{'street': '409 E Beach Blvd', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542'}",https://sea-n-suds.com,+251-948-7894,
Surf Style,Orange Beach,"{'street': '25033 Perdido Beach Blvd.', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {}}",https://surfstyle.com,,
Breakout Games - Orange Beach,Orange Beach,"{'street': '4776 Main Street Suite L208', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {}}",https://www.breakoutgames.com/orange-beach,251-929-8330,
Prosperous Pelican Gallery,Orange Beach,"24823 Commercial Ave #4, Orange Beach, AL 36561, USA, Gulf Shores, AL",,(251) 981-2022,4.6
Bear Point Harbor,Orange Beach,"{'street': '5749 Bay La Launch Avenue', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {'lat': 30.18652, 'lng': -87.31647}}",http://bearpointharbor.com/,(251) 981-2327,4.7
Gone Coastal in Gulf Shores LLC,Gulf Shores,"{'city': 'Gulf Shores', 'state': 'Alabama', 'country': 'USA'}",https://gonecoastalgs.com/,251-330-5143,
Happy Harbor Marina,Orange Beach,"{'street': '27212 Marina Road', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {}}",https://www.happyharbors.com/,(251) 981-6111,
Happy Harbor,Orange Beach,"{'street': '27212 Marina Road', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561'}",https://www.happyharbors.com,(251) 981-6111,
Mo's Landing,Gulf Shores,"{'street': 'Fort Morgan Road (Highway 180)', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {'lat': 30.2456, 'lng': -87.7289}}",https://www.gulfshoresal.gov/1221/Mos-Landing,251-968-2425,
Gulf Island Grill,Gulf Shores,"{'street': '244 E Beach Blvd', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {}}",https://www.gulfislandgrill.co,251-968-4440,4.2
Shipp's Dockside Grill,Orange Beach,"{'street': '27075 Marina Road', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561-3557', 'coordinates': {}}",https://www.shippsdockside.com/,(251) 412-7447,4.5
Barometer Waterfront Grille,Orange Beach,"{'street': '27842 Canal Rd', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {}}",https://www.barometerorangebeach.com,(251) 451-5232,4.7
