name,city,address,website,phone,rating
The Bowlin' Alley,Gulf Shores,"3212 20th Ave, Gulf Shores, AL",https://www.thebowlinalley.com/,(334) 768-2008,3.6
Island Wing Company Grill & Bar - Gulf Shores,Gulf Shores,"3947 AL-59 #100, Gulf Shores, AL 36542, USA",http://www.islandwing.com/,(251) 970-1337,4.3
Ebro Card Casino & Racebook,Gulf Shores,"6558 Dog Track Rd, Gulf Shores, FL",http://www.goebro.com/,(850) 234-3943,4.1
Gutter Lounge At Phoenix,Gulf Shores,"3200 N Palafox St, Gulf Shores, FL",http://gutter-phoenix.edan.io/,(850) 438-0700,4.3
The Bar Fitness-Gym and Spa for Women,Gulf Shores,"22245 AL-59, Gulf Shores, AL",http://www.thebar4women.com/,(251) 550-9494,5
The Grid Arcade Bar,Gulf Shores,"2414 N Pace Blvd, Gulf Shores, FL",http://www.thegridarcadepensacola.com/,(850) 563-7800,4.8
Apple Annie's,Gulf Shores,"130 E Government St, Gulf Shores, FL",http://www.sevillequarter.com/rooms/apple-annies,(850) 434-6211,4.2
Doc's Seafood Shack & Oyster Bar,Orange Beach,"{'street': '26029 Canal Road', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {'lat': 30.2924535, 'lng': -87.5830861}}",https://www.docsseafoodshack.com,(251) 981-6999,4.5
The Spot - Night Club & Bar,Gulf Shores,"7790 Tanner Rd, Gulf Shores, AL",https://www.thespotmobile.com/,(251) 725-0938,4.6
Treasure Bay Casino and Hotel,Gulf Shores,"1980 Beach Blvd, Gulf Shores, AL",https://treasurebay.com/,(228) 385-6000,4.1
Flo & Glo IV Wellness Lounge (Gulf Shores),Gulf Shores,"3947 Gulf Shores Pkwy #140, Gulf Shores, AL",http://flongloivgulfshores.com/,(251) 424-1777,5
The Keg Lounge and Grill,Orange Beach,"26796 Canal Rd, Orange Beach, AL 36561, USA",https://www.facebook.com/thekegloungeandgrill,(251) 981-9462,4.3
Wind Creek Wetumpka,Gulf Shores,"100 River Oaks Dr, Gulf Shores, AL",https://windcreek.com/wetumpka,(866) 946-3360,4.3
"Johnny B’s Front Porch, Lillian,Al",Gulf Shores,"33925 US-98, Gulf Shores, AL",,(251) 223-4014,4.4
Cedar Street Social,Gulf Shores,"4 N Cedar St, Gulf Shores, AL",http://www.outsiderspresents.com/,(251) 607-6221,4.8
