name,city,address,website,phone,rating
Delectable Delights by Tarolyn,Gulf Shores,"901 Massachusetts Ave #163, Gulf Shores, FL",http://delectabledelightsbytarolyn.com/,(850) 375-3417,4.9
The Southern Grind Coffee House,Orange Beach,"{'street': '4751 Main Street Suite 116', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {}}",https://www.thesoutherngrind.com,(251) 923-3265,
TCBY,Gulf Shores,"1301 Gulf Shores Pkwy, Gulf Shores, AL",https://store.tcby.com/menu/gulfshoresal,(251) 968-8229,4.4
Pelican Scoops Ice Cream - Fort Morgan,Gulf Shores,"1577 AL-180, Gulf Shores, AL 36542, USA",,(251) 609-1515,4.9
Hershey's Ice Cream on the Beach,Gulf Shores,"17288 Perdido Key Dr, Gulf Shores, FL",https://www.canva.com/design/DAG2ucZ3Lu0/gea8hkQmwMH1glJzaR0Skw/view?utm_content=DAG2ucZ3Lu0&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hbf699e93f5,(850) 444-8858,4.5
Black Cat Vegan Bakery,Gulf Shores,"105 W Orange Ave, Gulf Shores, AL",https://www.instagram.com/blackcatveganbakery__/?fbclid=IwZXh0bgNhZW0CMTEAAR01KaeBMtonn1SN9llP-2zr2ZnvAhsHFJQ5yfEQ0shjeX-IePaD_oMc8Ww_aem_2qP7ttofY0crLLM_eCwDzw,251-500-1788,4.7
Haze Coffee Co.,Orange Beach,"25187 Canal Rd, Orange Beach, AL 36561, USA",https://www.instagram.com/hazecoffeecompany?igsh=NTc4MTIwNjQ2YQ==,(631) 626-7592,4.9
Smallcakes of Pensacola,Gulf Shores,"5046 Bayou Blvd, Gulf Shores, FL",,(850) 332-5245,4.3
SWEET CONE ALABAMA ICE CREAM,Gulf Shores,"10427 Sorrento Rd ste. 103 ste. 103, Gulf Shores, FL",http://www.hersheyicecream.com/,(850) 456-0585,4.6
Happy Pappys Coffee,Gulf Shores,"{'street': '1550 West 2nd Street, Unit A5', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {}}",https://www.happypappyscoffee.com,(251) 967-2779,
Sherry's Cake Shop,Gulf Shores,"510 Massachusetts Ave, Gulf Shores, FL",,(850) 433-4208,4.6
Foam Coffee,Gulf Shores,"{'street': '313 East 22nd Avenue', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {}}",http://foamcoffeeandshop.com/,(251) 284-1620,4.5
New Orleans Original Snoballs,Gulf Shores,"320 E Beach Blvd, Gulf Shores, AL",https://www.facebook.com/New-Orleans-Original-Snoballs-Gulf-Shores-AL-139812446084035/,,4.7
A Specialty Bakery and Party Shoppe,Gulf Shores,"{'street': '2200 East 2nd Street, Suite I', 'city': 'Gulf Shores', 'state': 'AL'}",http://aspecialtybakery.net/,251-968-2253,
Chocolate Corner & Ice Cream,Gulf Shores,"{'street': '200 W Fort Morgan Rd', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {'lat': 30.264748, 'lng': -87.690071}}",http://chocolatecorneronline.com/,(251) 948-2462,4.8
Smallcakes Foley,Gulf Shores,"2163 S McKenzie St suite i, Gulf Shores, AL",https://www.smallcakesfoley.com/,(251) 407-1004,4.8
Matt's Homemade Ice Cream,Gulf Shores,"1308 Gulf Shores Pkwy, Gulf Shores, AL",,(251) 948-7098,4.5
Craft Gourmet Bakery,Gulf Shores,"5555 N Davis Hwy, Gulf Shores, FL",https://www.craftgourmetbakery.com/,(850) 332-5921,4.6
Yumm Twister & Ice Cream,Gulf Shores,"229 E 20th Ave Suite 8, Gulf Shores, AL",http://www.yummtcf.com/,(251) 281-8288,4.8
R'Reileigh's Daybreak Cafe',Gulf Shores,"34291 US-98, Gulf Shores, AL",https://www.facebook.com/Reileighsdaybreak1211/,(251) 961-8000,4.7
Bam Coffee 3,Gulf Shores,"13160 Sorrento Rd Unit BAM, Gulf Shores, FL",http://foamcoffeeandshop.com,(850) 490-4233,4.7
Beach Bums Coffee & Deli,Gulf Shores,"15849 AL-180, Gulf Shores, AL",,#ERROR!,4.7
Adonna's Garden St Cafe and Bakery,Gulf Shores,"811 W Garden St, Gulf Shores, FL",http://www.gardenstcafe.com/,(850) 696-2227,4.2
Kilwins Ice Cream - Chocolate - Fudge,Gulf Shores,"4751 Main St F 113, Gulf Shores, AL",https://www.kilwins.com/pages/stores-near-me-orange-beach-al-36561-0178,(251) 981-3120,4.7
Beach Girl Coffee,Gulf Shores,"3500 Gulf Shores Pkwy, Gulf Shores, AL",https://www.beachgirlcoffee.com/,(251) 948-0474,4.7
Kayden’s Homemade Candies & Ice Cream,Orange Beach,"25241 Perdido Beach Blvd Unit 107, Orange Beach, AL 36561, USA",http://kaydenscandyfactory.com/,(251) 923-5500,4.3
Exploreum Science Center & PCI Digital Dome Theater,Gulf Shores,"65 Government St, Gulf Shores, AL",http://www.exploreum.com/,(251) 208-6893,4.4
Frost Bites Gulf Shores/Orange Beach,Gulf Shores,"27853 Perdido Beach Blvd, Gulf Shores, AL",http://www.facebook.com/frostbitesgulfshores,(214) 578-2014,5
The Sugar Shack & Cafe,Gulf Shores,"4851 Wharf Pkwy, Gulf Shores, AL",(251) 555-0400,30.2803,3.7
Bodacious Shops,Gulf Shores,"407 S Palafox St, Gulf Shores, FL",https://bodaciousshops.com/,(850) 434-6300,4.5
Dirty Dough Cookies - Pensacola,Gulf Shores,"85 W Airport Blvd suite 2, Gulf Shores, FL",https://dirtydoughcookies.com/,(850) 542-7068,4.7
