name,city,address,website,phone,rating
Public beach Fort Morgan,Gulf Shores,"2542 Ponce De Leon Ct, Gulf Shores, AL 36542, USA",,,4.8
West End Public Beach,Gulf Shores,"West End Public Beach, Gulf Shores, AL",,(251) 861-5525,4.6
Escambia County Public Beach Access #1,Gulf Shores,"13549 Sandy Key Dr, Gulf Shores, FL",https://www.dep.state.fl.us/cmp/beachaccess/documents/amenities_escambia.pdf,(850) 475-5220,4.3
Public Beach,Gulf Shores,"Public Beach, Gulf Shores, AL",http://dauphinisland.org/public-beach/,,4.5
Gulf Shores Public Beach,Gulf Shores,"101 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.gulfshores.com/things-to-do/gulf-shores-main-public-beach-gulf-place/,(251) 968-2040,4.8
Public beach access,Gulf Shores,"2542 Ponce De Leon Ct, Gulf Shores, AL 36542, USA",,,4.8
Gulf State Park Romar Beach Access,Orange Beach,"24450 Perdido Beach Blvd, Orange Beach, AL 36561, USA",,,5
Perdido Key Public Beach Access #4,Gulf Shores,"16470 Perdido Key Dr, Gulf Shores, FL",,,4.9
Dauphin Island East End Public Beach,Gulf Shores,"Dauphin Island East End Public Beach, Gulf Shores, AL",http://dauphinisland.org/east-end-landing/,,4.6
Public Beach 13th Street Access,Gulf Shores,"1499 W Beach Blvd, Gulf Shores, AL",https://www.gulfshores.com/things-to-do/gulf-shores-13th-street-public-access/,,4.7
Cotton Bayou Public Beach Access,Gulf Shores,"25900 Perdido Beach Blvd, Gulf Shores, AL",https://www.gulfshores.com/things-to-do/cotton-bayou-a-gulf-state-park-beach-area/,(251) 948-7275,4.7
Gulf Shores 12th Street Public Beach Access,Gulf Shores,"Gulf Shores, Gulf Shores, AL",https://www.gulfshoresal.gov/1133/Beaches,,4.8
Morgantown Public Beach Access,Gulf Shores,"Gulf Shores, Gulf Shores, AL",,,4.7
