name,city,address,website,phone,rating
No. 1 China,Gulf Shores,"5701 Moffett Rd unit 1, Gulf Shores, AL",https://www.beyondmenu.com/56279/mobile/no--1-china-mobile-36618.aspx,(251) 344-5700,4.3
Pedros Tacos & Tequila Bar,Gulf Shores,"13584 Perdido Key Dr, Gulf Shores, FL",https://pedrostacosandtequilaperdidokey.com/,(850) 492-1701,4.3
Ole River Grill,Orange Beach,"17401 Perdido Key Dr, Orange Beach, AL 36561",florabama.com,,
Siam Thai Restaurant,Gulf Shores,"7164 N 9th Ave, Gulf Shores, FL",http://www.siamdiner.com/,(850) 266-5550,4.3
Pirate's Pizza and Wings,Gulf Shores,"1610 Bienville Blvd, Gulf Shores, AL",,(251) 861-2269,4.3
Taste of India Destin,Gulf Shores,"385 Harbor Blvd, Gulf Shores, FL",http://www.destintasteofindia.com/,(850) 353-2890,4.7
Fat Dragon Thai Food and Boba Smoothies,Gulf Shores,"13160 Sorrento Rd, Gulf Shores, FL",,(850) 861-3300,4.9
Peking House II,Gulf Shores,"10447 Sorrento Rd #102, Gulf Shores, FL",,(850) 453-9999,3.6
The District: Seville Steak & Seafood,Gulf Shores,"123 E Government St, Gulf Shores, FL",http://www.districtsteaks.com/,(850) 332-5224,4.4
BGH Cafe LLC,Gulf Shores,"114 Bienville Blvd, Gulf Shores, AL",,(251) 861-4628,3.8
Happy Sushi SF,Gulf Shores,"101 Marcella Ave, Gulf Shores, AL",,(251) 408-9320,4.8
Yak The Kathmandu Kitchen-Daphne,Gulf Shores,"28600 US-98 suite d, Gulf Shores, AL",https://thekathmandukitchen.com/,(251) 264-2046,4.2
Yummy House (All You Can Eat),Gulf Shores,"1385 Shoreline Dr, Gulf Shores, FL",http://yummyhouseayce.com/,(850) 203-1156,4.6
Asian Fusion Pensacola (Food Trailer),Gulf Shores,"10401 Chemstrand Rd, Gulf Shores, FL",https://asianfusionpensacola.com/,(850) 281-9184,4.9
Peter B's Sports Grill,Gulf Shores,"590 E 9 Mile Rd, Gulf Shores, FL",http://delunalanes.com/peter-bs.php,(850) 478-9522,4
Lauria’s Italian Bar & Bistro,Gulf Shores,"25637 Canal Rd, Gulf Shores, AL",https://www.facebook.com/LauriasOrangeBeach,(251) 999-9449,4.5
Thai 54- Esaan Cuisine,Gulf Shores,"47 Gulf Breeze Pkwy, Gulf Shores, FL",https://m.facebook.com/Thai54Cuisine/,(850) 677-8145,4
Dinner India,Gulf Shores,"201 S New Warrington Rd, Gulf Shores, FL",http://www.dinnerindia.com/,(850) 466-5770,4.4
Bangkok Thai Cuisine,Gulf Shores,"3821 Airport Blvd, Gulf Shores, AL",http://www.bangkokthaicuisinemobile.com/,(251) 344-9995,4.1
GOLDEN CHARIOT INDIAN RESTAURANT ( Aventura ),Gulf Shores,"18201B Biscayne Blvd, Gulf Shores, FL",https://www.goldenchariotindianrestaurant.com/,(305) 816-6484,4.8
Sakura Cafe,Gulf Shores,"7357 Theodore Dawes Rd, Gulf Shores, AL",https://www.facebook.com/SakuraCafeAL,(251) 653-3696,4.6
Shiso Japanese Restaurant,Gulf Shores,"6945 Airport Blvd, Gulf Shores, AL",https://www.dineatshiso.com/,(251) 384-8080,4.3
Mr. Teriyaki,Gulf Shores,"4104 Barrancas Ave Unit B, Gulf Shores, FL",http://mrteriyakipensacola.com/,(850) 455-9918,3.4
The Oar House,Gulf Shores,"1000 S Pace Blvd, Gulf Shores, FL",http://www.oarhousepensacola.com/,(850) 549-4444,4.5
Nippon Sushi,Gulf Shores,"Cordova Mall, Gulf Shores, FL",https://nipponsushifl.kwickmenu.com/,(850) 497-6709,4.4
China King,Gulf Shores,"12993 N, Gulf Shores, AL",https://mapsy.top/china-king-3,(251) 824-3388,4.2
