name,city,address,website,phone,rating
Pink Pelican Art Gallery,Orange Beach,"24823 Canal Rd, Orange Beach, AL 36561, USA, Gulf Shores, AL",,(251) 219-0050,5
Vampire Penguin Perdido Key,Gulf Shores,"14110 Perdido Key Dr, Gulf Shores, FL",https://www.vampirepenguinpensacola.com/,(850) 377-4139,4.8
Books on Main,Gulf Shores,"302 Main St, Gulf Shores, AL",http://www.thebooksonmain.com/,(970) 370-2094,5
The Greenhouse Garden Center,Gulf Shores,"20272 AL-59, Gulf Shores, AL",http://www.greenhousegc.com/,(251) 978-2050,4.9
Black Cafe and Bookstore,Gulf Shores,"3498 Doctor M.L.K. Jr Dr, Gulf Shores, FL",http://www.blackcafeandbooks.com/,(850) 262-9344,4.8
Eastern Shore Plaza,Gulf Shores,"10200 Eastern Shore Blvd, Gulf Shores, AL",http://www.easternshorecentre.com/,(251) 625-0060,4.4
Alvin's Island - Gulf Shores #19,Gulf Shores,"100 W Beach Blvd, Gulf Shores, AL",http://www.alvinsisland.com/,#ERROR!,4.7
Backstage Boutique,Gulf Shores,"5100 N 9th Ave Space A109, Gulf Shores, FL",https://thebackstageboutique.com/,(850) 607-0292,4.8
The Orange Beach Store,Gulf Shores,"25777 Perdido Beach Blvd, Gulf Shores, AL",https://theorangebeachstore.com/,(251) 981-0988,4.4
Odd Bob's,Gulf Shores,"14809 AL-59, Foley, AL 36535, USA, Gulf Shores, AL",http://oddbobs.com/,(251) 943-6349,4.6
Emporium@C - Coastal Gifts & More - Orange Beach,Gulf Shores,"25405 Perdido Beach Blvd #11, Gulf Shores, AL",http://www.emporiumatc.com/,(251) 981-8444,4.7
Irwin Square,Gulf Shores,"806 S McKenzie St, Gulf Shores, AL",,,4.4
Alvin's Island - Orange Beach #22,Gulf Shores,"24949 Perdido Beach Blvd, Gulf Shores, AL",http://www.alvinsisland.com/,#ERROR!,4.7
Eastern Shore Cycles,Gulf Shores,"6845 US-90 #102, Gulf Shores, AL",https://www.thebike-shop.com/,(251) 626-0079,5
University Town Plaza,Gulf Shores,"7171 N Davis Hwy, Gulf Shores, FL",https://wpgus.com/property/university-town-plaza/,(614) 621-9000,4.2
Panhandle Exotics,Gulf Shores,"37 N Navy Blvd, Gulf Shores, FL",http://www.panhandleexotics.com/,(850) 542-4410,4.4
"American Legacy Co, The Trump Store AL",Gulf Shores,"3859 Gulf Shores Pkwy STE 4, Gulf Shores, AL",https://americanlegacycothetrumpstoreal.com/,(251) 200-7624,3.5
Helzberg Diamonds,Gulf Shores,"5100 N 9th Ave Space G709, Gulf Shores, FL",https://www.helzberg.com/store?storeId=0256&utm_source=GMBlisting&utm_medium=organic,(850) 477-3173,4.9
Beré Jewelers,Gulf Shores,"5033 N 12th Ave, Gulf Shores, FL",https://www.berejewelers.com/,(850) 477-6818,4.9
Pet Nation,Gulf Shores,"1898 Andorra St, Gulf Shores, FL",http://www.petnation.org/,(850) 936-8201,4.4
Stone Jewelers,Gulf Shores,"8621 Lillian Hwy, Gulf Shores, FL",https://stonejewelers8621.wixsite.com/8504551177,(850) 455-1177,4.5
Ron Jon Surf Shop - Orange Beach,Gulf Shores,"22723 Perdido Beach Blvd, Gulf Shores, AL",https://www.ronjonsurfshop.com/store/orange-beach-alabama,(251) 981-8008,4.5
Bungalows,Gulf Shores,"4776 Wharf Pkwy W #110, Gulf Shores, AL",,#ERROR!,3.6
"Alvin's Island - Orange Beach, AL #780",Gulf Shores,"27433 Perdido Beach Blvd, Gulf Shores, AL",http://www.alvinsisland.com/,#ERROR!,4.7
Sundog Books,Gulf Shores,"89 Central Square, Gulf Shores, FL",http://www.sundogbooks.com/,(850) 231-5481,4.6
Warrington Shopping Center,Gulf Shores,"4051 Barrancas Ave, Gulf Shores, FL",,,4.2
Arts of Dauphin Island,Gulf Shores,"1101 Bienville Blvd, Gulf Shores, AL",http://artsofdauphinisland.org/?utm_source=gmb&utm_medium=referral,(251) 272-9099,4.7
The Occasional Wife Estate Sale Store,Gulf Shores,"13440 Perdido Key Dr, Gulf Shores, FL",https://theoccasionalwife.com/,(850) 208-1245,4.4
Elebash Jewelry Co,Gulf Shores,"36 Palafox Pl, Gulf Shores, FL",http://www.elebashs.com/,(850) 432-5136,4.9
Drift Boutique,Gulf Shores,"960 E 9 Mile Rd #5, Gulf Shores, FL",https://www.facebook.com/DriftPensacolaFL/,(850) 332-5126,4.7
