name,city,address,website,phone,rating
The Hangout,Gulf Shores,"101 E Beach Blvd, Gulf Shores, AL 36542, USA",https://www.thehangout.com/hangout-gulf-shores/,(251) 948-3030,4.6
Mikato Japanese Restaurant,Gulf Shores,"3800 Gulf Shores Pkwy #200, Gulf Shores, AL 36542, USA",http://mikatojapanese.com/,(251) 968-2525,4
The Wharf,Orange Beach,"23101 Canal Rd, Orange Beach, AL 36561, USA",https://alwharf.com/?utm_source=GBP&utm_medium=organic&utm_campaign=website,(251) 224-1000,4.5
Gulf Shores Steamer,Orange Beach,"27267 Perdido Beach Blvd #115, Orange Beach, AL 36561, USA",http://www.gulfshoressteamer.com/,(251) 948-6344,4.3
Original Oyster House Boardwalk,Gulf Shores,"701 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.originaloysterhouse.com/,(251) 948-2445,4.4
"Louisiana Lagniappe, Orange Beach, AL",Orange Beach,"27267 Perdido Beach Blvd #201, Orange Beach, AL 36561, USA",http://www.thelouisianalagniappe.com/,(251) 981-2258,4.6
Craft Farms Golf Club,Gulf Shores,"3840 Cotton Creek Cir, Gulf Shores, AL 36542, USA",http://www.craftfarms.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(251) 968-3002,4.8
Tacky Jacks Orange Beach,Orange Beach,"27206 Safe Harbor Dr, Orange Beach, AL 36561, USA",http://tackyjacks.com/,(251) 981-4144,4.5
Island Pancake House,Gulf Shores,"337 E Beach Blvd, Gulf Shores, AL 36542, USA",http://www.bwonthebeach.com/,(251) 948-2711,4.4
Cosmo's Restaurant & Bar,Orange Beach,"25753 Canal Rd, Orange Beach, AL 36561, USA",http://www.cosmosrestaurantandbar.com/,(251) 948-9663,4.6
Sea N Suds,Gulf Shores,"405 E Beach Blvd, Gulf Shores, AL 36542, USA",http://www.sea-n-suds.com/,(251) 948-7894,4.3
SanRoc Cay Marina - Shopping,Orange Beach,"27267 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://sanroccay.com/,(251) 980-0016,4.6
Gulf Shores Tattoos & Piercings,Gulf Shores,"618 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.facebook.com/p/Patches-Tattoo-Emporium-100046590503057/,(251) 540-2100,4
Cafe Beignet of Alabama OB,Orange Beach,"25405 Perdido Beach Blvd Suite 22, Orange Beach, AL 36561, USA",,(251) 981-2711,4.3
Cafe Beignets of Alabama GS,Gulf Shores,"200 W Fort Morgan Rd, Gulf Shores, AL 36542, USA",,(251) 948-2311,4.2
The Southern Grind Coffee House at the WHARF,Orange Beach,"4751 Main St #116, Orange Beach, AL 36561, USA",http://www.thesoutherngrind.com/,(251) 923-3265,4.4
The Southern Grind at INDIGO,Orange Beach,"22843 Perdido Beach Blvd, Orange Beach, AL 36561, USA",http://www.thesoutherngrind.com/,(251) 975-2883,4.4
BuzzCatz Coffee & Sweets,Orange Beach,"25689 Canal Rd Suite A, Orange Beach, AL 36561, USA",http://www.buzzcatzcoffeeandsweets.com/,(251) 980-2899,4.5
