name,city,address,website,phone,rating
Portside on Main,Orange Beach,"4605 Main St, Orange Beach, AL 36561, USA",https://alwharf.com/portside,,0
Paradise Boutiques,Orange Beach,"24821 Commercial Ave Unit 1, Orange Beach, AL 36561, USA",,(251) 484-0943,5
Palm Point Shopping Plaza,Orange Beach,"Unnamed Road, Orange Beach, AL 36561, USA",,,4.4
The Commons,Orange Beach,"25910 Canal Rd, Orange Beach, AL 36561, USA",,,4.3
Uptown Plaza,Gulf Shores,"229 E 20th Ave, Gulf Shores, AL 36542, USA",,(251) 923-6475,4.5
Paradise Isle Shopping Center,Gulf Shores,"1720 AL-59, Gulf Shores, AL 36542, USA",,,4.7
Pelican Place at Craft Farms,Gulf Shores,"3800 Gulf Shores Pkwy Suite 402, Gulf Shores, AL 36542, USA",,(251) 968-3638,4.8
The Square Shopping Center,Gulf Shores,"1538 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",,(251) 609-2873,5
Del Mar Properties LLC,Gulf Shores,"3757 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",http://www.retailspaceingulfshores.com/,(251) 968-7438,4.3
Bear Point Plaza,Orange Beach,"26835 Canal Rd, Orange Beach, AL 36561, USA",,,4
Think Outside...,Gulf Shores,"6642B AL-59, Gulf Shores, AL 36542, USA",http://www.thinkoutsidegulfshores.com/,(251) 968-9775,4.5
Budget Blinds of Baldwin County,Gulf Shores,"183 Northshore Pl, Gulf Shores, AL 36542, USA",http://www.budgetblinds.com/baldwincounty/?utm_source=Internet&utm_medium=Directory&utm_campaign=GOOGLE-PLACES,(251) 948-7626,4.9
Orange Beach Marine Clean,Orange Beach,"24825 Commercial Ave Unit #2, Orange Beach, AL 36561, USA",,(251) 968-6262,4.7
Luna Beach Interiors,Orange Beach,"24701 Canal Rd, Orange Beach, AL 36561, USA",http://www.lunabeachinteriors.com/,(251) 960-5862,4.9
