name,city,address,website,facebook,instagram,phone,rating
Agave Mexican Cantina – Gulf Shores,Gulf Shores,"1207 Gulf Shores Pkwy, Gulf Shores AL 36542",https://agavemexicanrestaurants.com,,,(251) 968-5055,4.5
Angry Crab Shack,Orange Beach,"25751 Perdido Beach Blvd #1-A, Orange Beach, AL 36561",https://www.angrycrabshack.com/perdido-blvd-orange-beach-al/,https://www.facebook.com/angrycrabshackorangebeachal,,(251) 981-1136,4.5
Avenue Pub (Gulf Shores),Gulf Shores,"114 W 2nd Ave, Gulf Shores, AL 36542",https://avenuepubgulfshores.com,,,(251) 948-2627,4.5
Bahama Bob's,Gulf Shores,,https://www.bahamabobs.com,,,,4.5
The Beach House Kitchen & Cocktails,Gulf Shores,"1154 W Beach Blvd, Gulf Shores AL 36542",https://beachhousegs.com,,,(251) 948-2431,4.5
Big Beach Brewing Company,Gulf Shores,"300 E 24th Ave, Gulf Shores, AL 36542",https://bigbeachbrewing.com,,,(251) 948-2337,4.5
Big Fish Restaurant & Bar,Orange Beach,"25814 Canal Rd, Orange Beach, AL 36561",https://bigfishrestaurantbar.com,,,(251) 981-5516,4.5
Big Mike's BBQ (Foley),Gulf Shores,"711 N McKenzie St, Foley, AL 36535",https://bigmikesbbq.net,,,(251) 943-6453,4.5
Big Mike's Steakhouse (Orange Beach),Orange Beach,"25638 Canal Rd, Orange Beach, AL 36561",https://bigmikessteakhouse.com,,,(251) 981-6453,4.5
Bleus Burger (Gulf Shores),Gulf Shores,"3800 Gulf Shores Pkwy Ste 240, Gulf Shores AL 36542",https://bleusburger.com,,,(251) 948-2538,4.5
BOLO Steak & Seafood,Orange Beach,"25775 Perdido Beach Blvd, Orange Beach, AL 36561",https://www.bolorestaurant.com,,,(251) 981-6800,4.6
The Brick Oven (Orange Beach),Orange Beach,"21040 State Hwy 180, Orange Beach AL 36561",https://thebrickovenob.com,,,(251) 981-3543,4.5
Brick & Spoon (Orange Beach),Orange Beach,"24705 Canal Rd, Orange Beach AL 36561",https://brickandspoon.com,,,(251) 981-7772,4.5
BuzzCatz Coffee & Sweets,Orange Beach,"25689 Canal Road, Orange Beach, AL 36561",https://buzzcatzcoffee.com,,,(251) 980-5862,4.7
Cactus Cantina – Gulf Shores,Gulf Shores,"3849 Gulf Shores Pkwy, Gulf Shores AL 36542",https://cactuscantinagulfshores.com,,,(251) 948-3100,4.5
Cactus Cantina – Orange Beach,Orange Beach,"25908 Canal Rd, Orange Beach AL 36561",https://cactuscantinaob.com,,,(251) 981-8565,4.5
Ristorante Carmelo,Orange Beach,"25747 Perdido Beach Blvd Suite 1, Orange Beach, AL",https://carmeloitalian.com,,,(251) 200-4375,4.5
COASTAL Orange Beach,Orange Beach,"25722 Perdido Beach Blvd, Orange Beach, AL 36561",https://www.coastalorangebeach.com,,,(251) 240-6001,4.5
"Cobalt, The Restaurant",Orange Beach,"27842 Canal Rd, Orange Beach, AL 36561",https://cobaltrestaurant.net/,https://www.facebook.com/CobaltAlabama,https://www.instagram.com/cobalt_therestaurant,(251) 981-9891,4.7
Cosmo's Restaurant & Bar,Orange Beach,"25753 Canal Rd, Orange Beach, AL 36561",https://www.cosmosob.com/,https://www.facebook.com/cosmosob,https://www.instagram.com/cosmosob,(251) 948-9663,4.6
Cotton's Restaurant & Lounge,Orange Beach,"26009 Perdido Beach Blvd, Orange Beach, AL 36561",https://cottonsrestaurant.com,,,(251) 981-9268,4.5
The Cove Bar & Grill (Gulf Shores),Gulf Shores,"131 E 18th Ave, Gulf Shores AL 36542",https://thecovebarandgrill.com,,,(251) 968-5353,4.5
The Crab Trap (Perdido Key),Gulf Shores,"16495 Perdido Key Dr, Pensacola, FL 32507",https://crabtrapflorida.com,,,(850) 492-8888,4.5
Crico's Pizza & Subs,Gulf Shores,"309 Gulf Shores Pkwy #68, Gulf Shores AL 36542",https://cricospizza.com,,,(251) 948-3100,4.5
Doc's Seafood & Steaks,Orange Beach,"26029 Canal Rd, Orange Beach, AL 36561",,,,(251) 981-6999,4.5
Down South BBQ (Foley),Gulf Shores,"19891 Co Rd 10, Foley, AL 36535",https://downsouthbbq.com,,,(251) 955-6622,4.5
Efe's Greek Kitchen (Gulf Shores),Gulf Shores,"200 W 23rd Ave, Gulf Shores AL 36542",https://efesgreekkitchen.com,,,(251) 948-7862,4.5
Fish River Grill #3 (Gulf Shores),Gulf Shores,"1545 Gulf Shores Pkwy, Gulf Shores, AL 36542",https://fishrivergrillgs.com,,,(251) 948-1110,4.5
Flora-Bama Lounge & Oyster Bar,Gulf Shores,"17401 Perdido Key Dr, Perdido Key FL 32507",https://florabama.com,,,(850) 492-0611,4.5
Flora-Bama Ole River Grill,Orange Beach,"17400 Perdido Key Dr, Perdido Key / Orange Beach Line",—,,,—,4.5
Flora-Bama Yacht Club,Orange Beach,"17350 Perdido Key Drive, Perdido Key / Orange Beach Line",—,,,—,4.5
Gelato Joe's (Foley),Gulf Shores,"202 E Michigan Ave, Foley AL 36535",https://gelatojoes.com,,,(251) 943-4845,4.5
Groovy Goat (The Wharf),Orange Beach,"4776 Main St Ste L208, Orange Beach, AL 36561",https://groovygoat.com,,,(251) 424-1700,4.5
GT's On The Bay,Orange Beach,"27267 Perdido Beach Blvd, Orange Beach, AL 36561",https://gtsonthebay.com/,,,(251) 981-6100,4.6
