name,city,address,website,phone,rating
A Shore Thing Beach Svc.,Gulf Shores,"113 W 14th Ave, Gulf Shores, AL 36542, USA",http://www.facebook.com/ashorethinginc,,4
Amberjack E-bike Rentals & Sales,Gulf Shores,"1544 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://amberjackebikerentals.com/,(251) 290-9227,5
Beach Bike Rentals,Orange Beach,"4 Market St, Orange Beach, AL 36561, USA",http://beachbikerentalsorangebeach.com/,(251) 968-1770,4.9
Beach Bum Services,Gulf Shores,"524 W 23rd Ave, Gulf Shores, AL 36542, USA",http://www.beachbumservices.com/,(251) 752-4355,4.6
Beach Power Rentals,Gulf Shores,"2416 Boddie Ln, Gulf Shores, AL 36542, USA",https://motorizedbeachwheelchairsgulfshores.com/,(251) 351-9590,4.4
E Bike of Orange Beach,Orange Beach,"25405 Perdido Beach Blvd STE 21, Orange Beach, AL 36561, USA",http://ebikeoforangebeach.com/,(251) 413-0714,4.9
EBIKE THE PARK,Gulf Shores,"117 E 14th Ave, Gulf Shores, AL 36542, USA",http://www.ebikethepark.com/,(251) 460-1088,5
Excel Beach Service | Gulf Shores,Gulf Shores,"925 Beach Club Trail, Gulf Shores, AL 36542, USA",https://www.excelbeachservice.com/gulf-shores,(850) 353-3276,4.9
Fort Morgan Beach Rentals,Gulf Shores,"10613 AL-180, Gulf Shores, AL 36542, USA",http://ftmorganbeachrentals.com/,(251) 597-7752,4.9
Gulf Coast Rental Co,Orange Beach,"25150 Canal Rd Suite B, Orange Beach, AL 36561, USA",http://www.gulfcoastrentalco.com/,(251) 510-7226,4.9
Gulf Shores Beach Rentals,Gulf Shores,"3873 AL-59, Gulf Shores, AL 36542, USA",http://www.gulfshoresalbeachrentals.com/,(251) 609-4577,4.7
Infinity Bicycles,Orange Beach,"4575 Orange Beach Blvd, Orange Beach, AL 36561, USA",https://www.infinity-bicycles.com/?y_source=1_MTU0OTc0NjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(251) 974-1727,4.9
Latitude Adjustment Beach Rentals,Gulf Shores,"421 E Beach Blvd, Gulf Shores, AL 36542, USA",https://latitudeadjustmentgulfshores.com/,(865) 680-6126,5
Paradise Pedal LLC,Gulf Shores,"E 1st Ave, Gulf Shores, AL 36542, USA",https://www.paradispedalllc.com/,(251) 483-3757,5
"Suncoast Beach Service, Inc.",Gulf Shores,"932 Commerce Loop, Gulf Shores, AL 36542, USA",http://www.suncoastbeachservice.com/,(251) 968-2466,4.6
