name,city,address,website,phone,rating
Adventure Island,Orange Beach,"24559 Perdido Beach Blvd, Orange Beach, AL 36561, USA",http://adventure-island.com/,(251) 974-1500,4.5
Arena The Next Level,Orange Beach,"4720 Main St Suite 205, Orange Beach, AL 36561, USA",http://www.arenaorangebeach.com/,(251) 224-5297,3.5
Beachside Mini Golf,Orange Beach,"24156 Ruby Ln, Orange Beach, AL 36561, USA",https://beachsideminigolf.net/,(251) 292-4653,4.6
Fat Daddy's Arcade,Orange Beach,"24565 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://fatdaddysarcade.com/,(251) 980-1050,4.1
Hibas Gulf Shores Karaoke & Arcade Bar,Gulf Shores,"3800 Gulf Shores Pkwy Suite 210, Gulf Shores, AL 36542, USA",https://hibasgulfshores.com/,(251) 279-0414,4.7
Jurassic Golf,Gulf Shores,"3800 Gulf Shores Pkwy #142, Gulf Shores, AL 36542, USA",http://www.jurassicgolfgs.com/,(251) 948-0227,4.4
Mini Golf Arcade,Gulf Shores,"Gulf Shores, AL 36542, USA",,,3.5
Mudbugs Dive Bar,Gulf Shores,"624 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.facebook.com/MudBugs-Pub-113373175361869/,(251) 948-8081,3.9
Outer Limits VR Game Room,Orange Beach,"4700 Main St N-101, Orange Beach, AL 36561, USA",http://www.vrfunplays.com/,(251) 240-0647,4.3
Pirate's Island Adventure Golf,Gulf Shores,"3201 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.piratesislandgolf.com/our-locations/gulf-shores-al-pirates-island/,(251) 968-4653,4.7
Shrimpy's Grill and Golf,Gulf Shores,"204 E 2nd Ave, Gulf Shores, AL 36542, USA",https://www.shrimpysminigolf.com/,(251) 948-6464,4.3
The Factory Gulf Shores,Gulf Shores,"18948 Oak Rd W, Gulf Shores, AL 36542, USA",http://thefactorygulfshores.com/,(251) 202-0900,4.5
The Hummingbird Zipline Course,Orange Beach,"4830 Main St Ste. G-114, Orange Beach, AL 36561, USA",https://gulfadventurecenter.com/,(251) 948-9494,4.8
The Track - Gulf Shores,Gulf Shores,"3200 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.funatthetrack.com/,(251) 270-0209,4.4
Waterville USA/Escape House,Gulf Shores,"906 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://watervilleusa.com/,(251) 948-2106,4.3
Zooland Mini Golf,Gulf Shores,"1204 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.zoolandminigolf.com/,,3.9
