name,city,address,website,phone,rating
A Specialty Bakery,Gulf Shores,"137 E Gulf Pl, Gulf Shores, AL 36542, USA",http://www.pinkponypub.net/?utm_source=gbp&utm_medium=organic,(251) 948-6371,4.1
A Sweet Secret Bakery & Cafe,Gulf Shores,"21196 E Beach Blvd, Gulf Shores, AL 36542, USA",https://lodgeatgulfstatepark.com/dining/,(251) 923-2940,4.7
A2Z Powersport,Orange Beach,"4751 Main St #116, Orange Beach, AL 36561, USA",http://www.thesoutherngrind.com/,(251) 923-3265,4.4
Alabama Extreme Watersports,Orange Beach,"4851 Wharf Pkwy E d130, Orange Beach, AL 36561, USA",http://www.sandshaker.com/,(251) 923-0080,4.7
Anchored Coffee House,Gulf Shores,"1154 W Beach Blvd #6200, Gulf Shores, AL 36542, USA",http://beachhousegs.com/,(251) 948-2431,4.3
Bad Ass Coffee of Hawaii,Orange Beach,"27206 Safe Harbor Dr, Orange Beach, AL 36561, USA",http://tackyjacks.com/,(251) 981-4144,4.5
Bagel Boy,Orange Beach,"27370 Canal Rd, Orange Beach, AL 36561, USA",https://www.bolorestaurantoba.com/,(251) 345-6739,4.7
Bahama Buck's - Orange Beach,Orange Beach,"25638 Canal Rd, Orange Beach, AL 36561, USA",http://www.bigmikessteakhouse.com/,(251) 981-2652,4.5
Barefoot Jet Ski Tour Co.,Orange Beach,"26651 Perdido Beach Blvd C, Orange Beach, AL 36561, USA",https://www.jetskisorangebeach.com/,(251) 981-1675,4.6
Beach Bums Coffee & Deli,Gulf Shores,"138 W 1st Ave, Gulf Shores, AL 36542, USA",https://www.desotosseafoodkitchen.com/,(251) 948-7294,4.4
Beach Girl Coffee,Gulf Shores,"601 W Beach Blvd, Gulf Shores, AL 36542, USA",http://www.bahamabobs.com/,(251) 948-2100,4.5
Beachside Brew,Orange Beach,"27267 Perdido Beach Blvd d105, Orange Beach, AL 36561, USA",http://pelicangrillob.com/,(251) 483-3665,4.2
Beachside Circle Boat Rentals and Sales,Orange Beach,"27200 Perdido Beach Blvd #3205, Orange Beach, AL 36561, USA",https://voyagersrestaurant.com/,(251) 981-9811,4.7
Bear Point Harbor,Orange Beach,"4851 Wharf Pkwy W Suite D116, Orange Beach, AL 36561, USA",https://www.yohorumandtacos.com/,(251) 923-0644,3.7
Blue Sky Parasailing and Watersports,Gulf Shores,"240 E 24th Ave, Gulf Shores, AL 36542, USA",http://tackyjacks.com/,(251) 948-8881,4.4
