name,city,address,website,phone,rating
"Alvin's Island - Orange Beach, AL #780",Orange Beach,"27433 Perdido Beach Blvd, Orange Beach, AL 36561, USA",http://www.alvinsisland.com/,(305) 471-9394 ext. 780,4.7
Beach Girl At Home,Gulf Shores,"3947 AL-59 Suite 240, Gulf Shores, AL 36542, USA",https://www.beachgirlathome.com/,(251) 223-4914,4.9
Beach House Boutique,Gulf Shores,"3800 Gulf Shores Pkwy #320, Gulf Shores, AL 36542, USA",http://shopthebeachlife.com/,(251) 948-7467,3.3
Beach Planet - Nothing Over $14.99,Orange Beach,"25405 Perdido Beach Blvd Suite 4, Orange Beach, AL 36561, USA",,,3.8
Bungalows,Orange Beach,"4776 Wharf Pkwy W #110, Orange Beach, AL 36561, USA",,(251) 224-5555,3.6
Coastal Store,Orange Beach,"25698 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://coastalclothingcompany.com/,(251) 240-6001,5
Daxx Gift Boutique,Orange Beach,"27267 Perdido Beach Blvd #108, Orange Beach, AL 36561, USA",https://shopdaxx.com/,,5
Emporium@C - Coastal Gifts & More - Orange Beach,Orange Beach,"25405 Perdido Beach Blvd #11, Orange Beach, AL 36561, USA",http://www.emporiumatc.com/,(251) 981-8444,4.6
Fish On A Dish,Orange Beach,"4830 Main St #109, Orange Beach, AL 36561, USA",,(251) 981-8323,4.5
Gifted. Orange Beach,Orange Beach,"27267 Perdido Beach Blvd B113, Orange Beach, AL 36561, USA",,(251) 980-4438,5
Gulf Shores Beach Supply,Gulf Shores,"1549 Gulf Shores Pkwy Suite 1100, Gulf Shores, AL 36542, USA",http://gulfshoresbeachsupply.com/,(251) 923-5588,4.5
Gulf Shores Beach Trading Company,Gulf Shores,"101 W Beach Blvd, Gulf Shores, AL 36542, USA",,,3.4
Gulf Shores City Store,Gulf Shores,"1821 AL-59, Gulf Shores, AL 36542, USA",https://www.gulfshoresgear.com/,(251) 968-2504,4.1
Gulf Shores Souvenirs & Gifts,Gulf Shores,"301 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",,(251) 948-3146,3.4
Maggie's Gift Shop,Orange Beach,"25753 Canal Rd, Orange Beach, AL 36561, USA",https://cosmosrestaurantandbar.com/maggies/,(251) 981-1968,4.1
Ron Jon Surf Shop - Orange Beach,Orange Beach,"22723 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://www.ronjonsurfshop.com/store/orange-beach-alabama,(251) 981-8008,4.5
Shop LuLu Buffett,Gulf Shores,"202 E 25th Ave, Gulf Shores, AL 36542, USA",http://shop.lulusfunfoodmusic.com/,(251) 967-1133,4.1
St Charles Place,Orange Beach,"25241 Perdido Beach Blvd STE W, Orange Beach, AL 36561, USA",https://www.gulfshores.com/things-to-do/st-charles-place/,(251) 981-6400,4.5
"Surf Style 204: Surf, Swimwear, Sporting Goods in Orange Beach",Orange Beach,"27401 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://surfstyle.com/pages/surf-style-store-204?utm_source=google&utm_medium=organic&utm_campaign=gbl,(954) 924-9779,4.2
"Surf Style 207: Surf, Swimwear, Sporting Goods in Gulf Shores",Gulf Shores,"102 E Beach Blvd, Gulf Shores, AL 36542, USA",https://surfstyle.com/pages/surf-style-store-207?utm_source=google&utm_medium=organic&utm_campaign=gbl,(954) 924-9779,3.8
Tallulah's Treasures,Orange Beach,"25122 Perdido Beach Blvd #6209, Orange Beach, AL 36561, USA",https://www.facebook.com/TALLULAHSTREASURESUSA,(251) 981-6003,4.7
The Beach Store,Orange Beach,"25741 Perdido Beach Blvd j, Orange Beach, AL 36561, USA",,(251) 981-3155,4.5
The Orange Beach Store,Orange Beach,"25777 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://theorangebeachstore.com/,(251) 981-0988,4.4
The Royal Standard,Gulf Shores,"3769 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.theroyalstandard.com/?utm_source=google&utm_medium=organic&utm_campaign=gulf_shores,(251) 243-7074,4.7
The Salty Palm,Gulf Shores,"3041 W 1st St, Gulf Shores, AL 36542, USA",https://thesaltypalm.com/,(251) 229-9890,4.9
The Wharf Store,Orange Beach,"4851 Wharf Pkwy E d118, Orange Beach, AL 36561, USA",https://shopthewharf.com/,(251) 224-1904,3.5
Tiki Island Boutique,Gulf Shores,"517 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",http://www.tikiislandboutique.com/,(717) 201-8716,3.8
Trading Co.Orange Beach,Orange Beach,"24891 Perdido Beach Blvd, Orange Beach, AL 36561, USA",,,4.1
Village Mercantile,Gulf Shores,"925B Beach Club Trail, Gulf Shores, AL 36542, USA",https://thebeachclub.spectrumresorts.com/the-amenities/shopping/?utm_source=google&utm_medium=places&utm_campaign=google_places,(251) 224-3660,4.1
