name,city,address,website,phone,rating
Bay Side Boat Rental LLC,Orange Beach,"25142 Canal Rd, Orange Beach, AL 36561, USA",https://www.baysideorangebeach.com/,(251) 979-0609,5
Chute for the Skye Parasailing,Orange Beach,"27206 Safe Harbor Dr, Orange Beach, AL 36561, USA",https://chuteskyeparasail.com/,(251) 979-2475,4.7
Coastal Segway Adventures,Gulf Shores,"21101 AL-135, Gulf Shores, AL 36542, USA",http://www.coastalsegwayadventures.com/,(251) 509-8687,4.8
Coyote Beach Sports,Gulf Shores,"112 E 1st Ave, Gulf Shores, AL 36542, USA",https://coyotebeachsportsal.com/,(251) 228-2080,4.9
"Dolphin Cove Marina Gulf Shores, AL",Gulf Shores,"4159 Co Rd 6, Gulf Shores, AL 36542, USA",https://www.dolphin-cove-marina.com/,(251) 223-4055,5
Down Under Dive Shop,Gulf Shores,"1129 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",http://www.downunderdiveshop.com/,(251) 968-3483,4.5
E-Bikes & Boards,Gulf Shores,"1129 Gulf Shores Pkwy Suite C, Gulf Shores, AL 36542, USA",http://www.e-bikesandboards.com/,(251) 505-2925,4.9
Foil Gulf Coast,Orange Beach,"5677 Bayou St John Ave, Orange Beach, AL 36561, USA",http://www.foilgulfcoast.com/,(972) 746-7276,5
"Freedom Boat Club - Orange Beach, AL",Orange Beach,"27844 Canal Rd, Orange Beach, AL 36561, USA",https://orangebeachboatclub.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(850) 497-0130,4.9
Get It Going Tiki Ride,Orange Beach,"26350 Cotton Bayou Dr, Orange Beach, AL 36561, USA",https://getitgoingtikiride.com/,(251) 256-9091,5
Gulf Coast Boat Rentals,Gulf Shores,"E Canal Dr, Gulf Shores, AL 36542, USA",https://www.gulfcoastboatrentals.com/,(251) 496-3120,5
Gulf Shores Bike Rentals,Gulf Shores,"824 Gulf Shores Pkwy C2, Gulf Shores, AL 36542, USA",http://gulfshoresbikerentals.com/,(251) 210-9037,5
GulfKayakRentals,Gulf Shores,"448 W 23rd Ave, Gulf Shores, AL 36542, USA",,(251) 381-0061,
Happy Harbor Marina & Dry Storage,Orange Beach,"27212 Marina Rd, Orange Beach, AL 36561, USA",http://happyharbors.com/,(251) 981-6111,4.6
High Wave 59,Gulf Shores,"1835 W Beach Blvd, Gulf Shores, AL 36542, USA",https://www.highwave59.com/,(251) 600-9660,5
Hudson Marina Deep Sea Fishing,Orange Beach,"4575 S Wilson Blvd, Orange Beach, AL 36561, USA",https://hudsonmarina.net/4-hour-fishing-charter/,(251) 981-4127,4.3
Ike's Beach Service,Gulf Shores,"800 W Beach Blvd, Gulf Shores, AL 36542, USA",https://www.ikesbeachservice.com/,(251) 948-3757,4.8
Ike's Parasail Orange Beach,Orange Beach,"27550 Larry C Kelley Rd, Orange Beach, AL 36561, USA",https://parasail-orangebeach.com/,(251) 981-0055,4.8
Island Cruizer Boat Rentals,Orange Beach,"24689 Canal Rd, Orange Beach, AL 36561, USA",https://islandcruizerboatrentals.com/,(251) 407-6333,5
Island Life kayak and paddle board rentals,Gulf Shores,"108 Waterway W Blvd, Gulf Shores, AL 36542, USA",,(251) 978-3321,4.7
Legendary Marina & Yacht Club Gulf Shores Alabama,Gulf Shores,"335 Waterway W Blvd, Gulf Shores, AL 36542, USA",https://www.legendarymarinagulfshores.com/,(251) 468-2377,5
Orange Beach Marina,Orange Beach,"27075 Marina Rd, Orange Beach, AL 36561, USA",http://www.orangebeachmarina.com/,(251) 981-4207,4.7
Orange Beach Pontoon Boats,Orange Beach,"27267 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://orangebeachpontoonboats.com/,(251) 597-6816,4.9
Orange Beach Pontoons,Orange Beach,"29209 Perdido Beach Blvd APT 101, Orange Beach, AL 36561, USA",,(251) 210-7800,5
Pelican Boat Rentals,Orange Beach,"22830 Brown Ln, Orange Beach, AL 36561, USA",https://www.rentpelicanboats.com/,(251) 752-8322,5
Perdido Beach Service,Orange Beach,"25328 Canal Rd, Orange Beach, AL 36561, USA",http://perdidobeachservice.com/,(251) 981-4807,4.5
Pure Aloha Adventures,Gulf Shores,"22922 Alabama's Coastal Connection, Gulf Shores, AL 36542, USA",https://purealohaadventures.com/alabama/,(251) 391-4832,5
Sea View Tours,Orange Beach,"28101 Perdido Beach Blvd B1, Orange Beach, AL 36561, USA",http://seaviewtoursal.com/,(251) 385-1710,4.5
Tambos Surf & Skate Shop,Gulf Shores,"3800 Gulf Shores Pkwy #130, Gulf Shores, AL 36542, USA",,(251) 948-7873,4.8
The Wharf Marina,Orange Beach,"4851 Wharf Pkwy E d118, Orange Beach, AL 36561, USA",https://alwharf.com/,(251) 224-1900,4.6
Wind and Water Learning Center,Orange Beach,"26233 Canal Rd, Orange Beach, AL 36561, USA",https://www.orangebeachal.gov/386/Wind-Water-Learning-Center,(251) 424-5909,5
