name,address,category,website,phone,rating,place_id
The Hangout,"101 E Beach Blvd, Gulf Shores, AL 36542, USA",RESTAURANTS,https://www.thehangout.com/hangout-gulf-shores/,(251) 948-3030,4.6,ChIJSU2qLbcEmogRsJwBQpAN04U
Subway,"170 Fort Morgan Road, Gulf Shores, AL 36542, USA",RESTAURANTS,https://restaurants.subway.com/united-states/al/gulf-shores/170-ft-morgan-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=35514&utm_campaign=evergreen-2020&y_source=1_MTQ4OTU4NzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(251) 968-8288,2,ChIJg9iMWsUEmogRLBWxscU8kF0
Mikato Japanese Restaurant,"3800 Gulf Shores Pkwy #200, Gulf Shores, AL 36542, USA",RESTAURANTS,http://mikatojapanese.com/,(251) 968-2525,4,ChIJt5WsAUQFmogR-4RcQYxem7o
Original Oyster House Boardwalk,"701 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",RESTAURANTS,https://www.originaloysterhouse.com/,(251) 948-2445,4.4,ChIJQ5giJsgEmogRstxat76ZO1w
Subway,"1545 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",RESTAURANTS,https://restaurants.subway.com/united-states/al/gulf-shores/1545-gulfshore-pky?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=3988&utm_campaign=evergreen-2020&y_source=1_MTQ4OTg5MDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(251) 968-5024,3.1,ChIJT238K9AEmogRJyHb-s3AI4U
Craft Farms Golf Club,"3840 Cotton Creek Cir, Gulf Shores, AL 36542, USA",RESTAURANTS,http://www.craftfarms.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(251) 968-3002,4.8,ChIJTYCCJHIFmogRMMuZ4VBEr04
Island Pancake House,"337 E Beach Blvd, Gulf Shores, AL 36542, USA",RESTAURANTS,http://www.bwonthebeach.com/,(251) 948-2711,4.4,ChIJQ3rGXrkEmogR0DxsYEWOW5Q
Sea N Suds,"405 E Beach Blvd, Gulf Shores, AL 36542, USA",RESTAURANTS,http://www.sea-n-suds.com/,(251) 948-7894,4.3,ChIJ6VNVkr4EmogRaTPu5yA61fM
Gulf Shores Tattoos & Piercings,"618 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",RESTAURANTS,https://www.facebook.com/p/Patches-Tattoo-Emporium-100046590503057/,(251) 540-2100,4,ChIJAQBw-7cEmogRfjmdY7ltAek
Cafe Beignets of Alabama GS,"200 W Fort Morgan Rd, Gulf Shores, AL 36542, USA",RESTAURANTS,,(251) 948-2311,4.2,ChIJseui7s8EmogRfvRK8ANL4kk
Foam Coffee,"313 E 22nd Ave, Gulf Shores, AL 36542, USA",RESTAURANTS,http://foamcoffeeandshop.com/,(251) 284-1620,4.6,ChIJwU95Md8EmogRBXy_0zFJD6Q
Gulf Shores Diner,"3639 Gulf Shores Pkwy #4, Gulf Shores, AL 36542, USA",RESTAURANTS,,(251) 948-0088,4.6,ChIJneMmQjkFmogRaOGq8IDwudg
McDonald's,"2000 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",RESTAURANTS,https://www.mcdonalds.com/us/en-us/location/AL/GULF-SHORES/2000-GULFSHORES-PKY/21765.html?cid=RF:YXT:GMB::Clicks,(251) 967-3700,3.3,ChIJQUbS09kEmogRcsJIUkAcXJw
A Specialty Bakery,"2200 E 2nd St STE I, Gulf Shores, AL 36542, USA",RESTAURANTS,http://aspecialtybakery.net/,(251) 968-2253,4.8,ChIJe_HNsdsEmogRndcxwPagM8w
Starbucks,"3820 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",RESTAURANTS,https://www.starbucks.com/store-locator/store/13748,(251) 967-7001,3.8,ChIJq2pF1EYFmogRPR1AekAmMQE
Walmart Supercenter,"170 Fort Morgan Road, Gulf Shores, AL 36542, USA",RESTAURANTS,https://www.walmart.com/store/2748-gulf-shores-al/?veh=seo_loc,(251) 968-5871,3.9,ChIJg9iMWsUEmogRnM18WuWWINQ
Shell,"2020 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",RESTAURANTS,https://find.shell.com/us/fuel/10089740-2020-gulf-shores-pkwy/en_US,(251) 973-6017,3.1,ChIJW1H-w9kEmogRTek7c40MErk
Peninsula Golf & Racquet Club,"20 Peninsula Blvd, Gulf Shores, AL 36542, USA",RESTAURANTS,https://peninsulagolfclub.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(251) 968-8009,4.7,ChIJU_aEG-EbmogRBeYjYV67EDI
Pink Pony Pub,"137 E Gulf Pl, Gulf Shores, AL 36542, USA",RESTAURANTS,http://www.pinkponypub.net/?utm_source=gbp&utm_medium=organic,(251) 948-6371,4.1,ChIJGQpKqbAEmogRw2CWr5jWnAY
De Soto's Seafood Kitchen,"138 W 1st Ave, Gulf Shores, AL 36542, USA",RESTAURANTS,https://www.desotosseafoodkitchen.com/,(251) 948-7294,4.4,ChIJaym-x7YEmogR0U8amdLTFS8
Hooters,"300 E Beach Blvd, Gulf Shores, AL 36542, USA",RESTAURANTS,https://www.hooters.com/locations/31005-gulf-shores?utm_medium=organic&utm_source=google&utm_campaign=gmb-bayou-fox-franchise&utm_content=gulf-shores&utm_term=website-cta,(251) 948-4668,3.5,ChIJ6f0Gm7kEmogR3oTbx_7JVQM
Peninsula Restaurant & Grill,"20 Peninsula Blvd, Gulf Shores, AL 36542, USA",RESTAURANTS,https://peninsulagolfclub.com/bar-and-grill/,(251) 968-8010,4.5,ChIJU_aEG-EbmogR8ssj72IWneI
