name,address,category,website,phone,rating,place_id
Subway,"25755 Perdido Beach Blvd, Orange Beach, AL 36561, USA",RESTAURANTS,https://restaurants.subway.com/united-states/al/orange-beach/25755-perdido-beach-blvd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=12619&utm_campaign=evergreen-2020&y_source=1_MTQ5MTUxNDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(251) 981-6881,3.4,ChIJM7MIXvkGmogRK4YXCpzpS2g
The Wharf,"23101 Canal Rd, Orange Beach, AL 36561, USA",RESTAURANTS,https://alwharf.com/?utm_source=GBP&utm_medium=organic&utm_campaign=website,(251) 224-1000,4.5,ChIJvfvStq0FmogRzhDmwHKhsDA
Gulf Shores Steamer,"27267 Perdido Beach Blvd #115, Orange Beach, AL 36561, USA",RESTAURANTS,http://www.gulfshoressteamer.com/,(251) 948-6344,4.3,ChIJR1bZlp8HmogRL_gXPHvSRUM
"Louisiana Lagniappe, Orange Beach, AL","27267 Perdido Beach Blvd #201, Orange Beach, AL 36561, USA",RESTAURANTS,http://www.thelouisianalagniappe.com/,(251) 981-2258,4.6,ChIJR1bZlp8HmogR2ro8KW2DA5M
Tacky Jacks Orange Beach,"27206 Safe Harbor Dr, Orange Beach, AL 36561, USA",RESTAURANTS,http://tackyjacks.com/,(251) 981-4144,4.5,ChIJtTfoJKIHmogRpqJshg7e1g0
Cosmo's Restaurant & Bar,"25753 Canal Rd, Orange Beach, AL 36561, USA",RESTAURANTS,http://www.cosmosrestaurantandbar.com/,(251) 948-9663,4.6,ChIJ55i9UUQGmogRkCe6uzJgenE
SanRoc Cay Marina - Shopping,"27267 Perdido Beach Blvd, Orange Beach, AL 36561, USA",RESTAURANTS,https://sanroccay.com/,(251) 980-0016,4.6,ChIJiVbZlp8HmogRMRIgAbADgGI
Cafe Beignet of Alabama OB,"25405 Perdido Beach Blvd Suite 22, Orange Beach, AL 36561, USA",RESTAURANTS,,(251) 981-2711,4.3,ChIJa8xq0_YGmogRtU-W-4-57PA
The Southern Grind Coffee House at the WHARF,"4751 Main St #116, Orange Beach, AL 36561, USA",RESTAURANTS,http://www.thesoutherngrind.com/,(251) 923-3265,4.4,ChIJS_RMSMMFmogRfmfhXniiEUk
The Southern Grind at INDIGO,"22843 Perdido Beach Blvd, Orange Beach, AL 36561, USA",RESTAURANTS,http://www.thesoutherngrind.com/,(251) 975-2883,4.4,ChIJi1l5EjwEmogRbQ_rd2lqa08
Starbucks,"25773 Perdido Beach Blvd, Orange Beach, AL 36561, USA",RESTAURANTS,https://www.starbucks.com/store-locator/store/1010362/,(251) 597-2033,4,ChIJbQon9fkGmogRM1PXBVFKrHE
BuzzCatz Coffee & Sweets,"25689 Canal Rd Suite A, Orange Beach, AL 36561, USA",RESTAURANTS,http://www.buzzcatzcoffeeandsweets.com/,(251) 980-2899,4.5,ChIJpwRPw04GmogRqLuFgI8oAuo
McDonald's,"4511 Orange Beach Blvd, Orange Beach, AL 36561, USA",RESTAURANTS,https://www.mcdonalds.com/us/en-us/location/AL/ORANGE-BEACH/4511-ORANGE-BEACH-BLVD/26636.html?cid=RF:YXT:GMB::Clicks,(251) 974-2663,2.8,ChIJk9ctWUwGmogRMewPG1hIv5Q
Alabama Sweet Tea Company,"4601 Main St Suite B-108, Orange Beach, AL 36561, USA",RESTAURANTS,https://alabamasweettea.com/,(251) 255-6770,5,ChIJdwAjTIcFmogRiulKmoSaKMY
Cotton's Restaurant,"26009 Perdido Beach Blvd, Orange Beach, AL 36561, USA",RESTAURANTS,https://cottonsorangebeach.com/,(251) 981-9268,3.9,ChIJA3L1YP4GmogRbyM_jqpp6Tg
