name,address,category,website,facebook,instagram,phone,rating
Adventure Island,"24559 Perdido Beach Blvd, Orange Beach, AL 36561",activities,https://adventureislandgulfshores.com,,,(251) 981-4034,4.4
Agave Mexican Cantina – Gulf Shores,"1207 Gulf Shores Pkwy, Gulf Shores AL 36542",restaurants,https://agavemexicanrestaurants.com,,,(251) 968-5055,4.5
Avenue Pub (Gulf Shores),"114 W 2nd Ave, Gulf Shores, AL 36542",restaurants,https://avenuepubgulfshores.com,,,(251) 948-2627,4.5
Bahama Bob's,,restaurants,https://www.bahamabobs.com,,,,4.5
The Beach Club Resort & Spa,"925 Beach Club Trail, Gulf Shores, AL 36542",hotels,https://www.beachclubresort.com,,,(251) 224-2424,4.7
The Beach House Kitchen & Cocktails,"1154 W Beach Blvd, Gulf Shores AL 36542",restaurants,https://beachhousegs.com,,,(251) 948-2431,4.5
Big Beach Brewing Company,"300 E 24th Ave, Gulf Shores, AL 36542",restaurants,https://bigbeachbrewing.com,,,(251) 948-2337,4.5
Big Mike's BBQ (Foley),"711 N McKenzie St, Foley, AL 36535",restaurants,https://bigmikesbbq.net,,,(251) 943-6453,4.5
Bleus Burger (Gulf Shores),"3800 Gulf Shores Pkwy Ste 240, Gulf Shores AL 36542",restaurants,https://bleusburger.com,,,(251) 948-2538,4.5
Cactus Cantina – Gulf Shores,"3849 Gulf Shores Pkwy, Gulf Shores AL 36542",restaurants,https://cactuscantinagulfshores.com,,,(251) 948-3100,4.5
Café Beignet (Gulf Shores),"208 W Fort Morgan Rd, Gulf Shores AL 36542",coffee,,,,(251) 948-2311,4.5
Chocolate Corner & Ice Cream,"200 W Fort Morgan Rd, Gulf Shores AL 36542",sweets,https://chocolatecorner.net,,,(251) 948-2462,4.5
Coastal Bakery & Cafe,"1200 Gulf Shores Pkwy, Gulf Shores, AL 36542",coffee,https://coastalbakery.com,,,(251) 555-0300,
The Cove Bar & Grill (Gulf Shores),"131 E 18th Ave, Gulf Shores AL 36542",restaurants,https://thecovebarandgrill.com,,,(251) 968-5353,4.5
The Crab Trap (Perdido Key),"16495 Perdido Key Dr, Pensacola, FL 32507",restaurants,https://crabtrapflorida.com,,,(850) 492-8888,4.5
Crico's Pizza & Subs,"309 Gulf Shores Pkwy #68, Gulf Shores AL 36542",restaurants,https://cricospizza.com,,,(251) 948-3100,4.5
Down South BBQ (Foley),"19891 Co Rd 10, Foley, AL 36535",restaurants,https://downsouthbbq.com,,,(251) 955-6622,4.5
Efe's Greek Kitchen (Gulf Shores),"200 W 23rd Ave, Gulf Shores AL 36542",restaurants,https://efesgreekkitchen.com,,,(251) 948-7862,4.5
Fish River Grill #3 (Gulf Shores),"1545 Gulf Shores Pkwy, Gulf Shores, AL 36542",restaurants,https://fishrivergrillgs.com,,,(251) 948-1110,4.5
Flora-Bama Lounge & Oyster Bar,"17401 Perdido Key Dr, Perdido Key FL 32507",restaurants,https://florabama.com,,,(850) 492-0611,4.5
Foam Coffee (Gulf Shores),"103 W 18th Ave, Gulf Shores AL 36542",coffee,https://foamcoffee.com,,,(251) 948-2929,4.5
Gelato Joe's (Foley),"202 E Michigan Ave, Foley AL 36535",restaurants,https://gelatojoes.com,,,(251) 943-4845,4.5
Gulf Island Grill,"244 E Beach Blvd, Gulf Shores, AL 36542",restaurants,https://gulfislandgrill.co,,,(251) 968-4440,4.5
Gulf Shores Public Beach Access,"101 Gulf Shores Pkwy, Gulf Shores, AL 36542",beach-access,https://www.gulfshoresal.gov,,,(251) 968-1171,
Gulf Shores Area Parking - Zoo Lot,"1204 Gulf Shores Pkwy, Gulf Shores, AL 36542",parking,https://www.alabamagulfcoastzoo.com,,,(251) 968-5731,
Gulf State Park,"20115 AL-135, Gulf Shores, AL 36542",activities,https://www.alapark.com/gulf-state-park,,,(251) 948-7275,4.8
Gulf State Park Beach Pavilion,"20115 State Highway 135, Gulf Shores, AL 36542",beach-access,https://www.alapark.com/gulf-state-park,,,(251) 948-7275,
Gulf State Park Boat Launch,"22250 Campground Rd, Gulf Shores, AL 36542",boat-launch,https://www.alapark.com/gulf-state-park,,,(251) 948-7275,
Hazel's Nook (Gulf Shores),"120 E Fort Morgan Rd, Gulf Shores AL 36542",restaurants,https://hazelsnook.com,,,(251) 968-7065,4.5
Hog Wild Beach & BBQ (Gulf Shores),"911 Gulf Shores Pkwy, Gulf Shores AL 36542",restaurants,https://hogwildbeachandbbq.com,,,(251) 600-9453,4.5
Hope's Cheesecake,"210 E 20th Ave, Gulf Shores AL 36542",sweets,https://hopescheesecake.com,,,(251) 968-5858,4.5
Island Wing Company (Gulf Shores),"3800 Gulf Shores Pkwy #100, Gulf Shores AL 36542",restaurants,https://islandwing.com,,,(251) 948-2625,4.5
Janino's Pizza (Gulf Shores),"100 W 6th Ave, Gulf Shores AL 36542",restaurants,https://janinospizza.com,,,(251) 968-3267,4.5
Jesse's on the Bay,"1631 Crosswinds Ct, Bon Secour, AL 36511",restaurants,https://jessesrestaurant.com,,,(251) 965-3827,4.5
King Neptune's Seafood Restaurant,"1137 Gulf Shores Pkwy, Gulf Shores, AL 36542",restaurants,https://kingneptunes.website,,,(251) 968-5464,4.5
Kitty's Kafé (Gulf Shores),"Pelican Place Shops, 3800 Gulf Shores Pkwy #100, Gulf Shores AL 36542",restaurants,https://kittyskafe.com,,,(251) 948-5233,4.5
LuLu's Gulf Shores,"200 E 25th Ave, Gulf Shores, AL 36542",restaurants,https://lulubuffett.com/,https://www.facebook.com/LuLusGulfShores,https://www.instagram.com/lulusgulfshores,(251) 967-5858,4.5
Lunas Eat and Drink Full Catego,,restaurants,,,,,
Matt's Homemade Alabama Ice Cream,"1308 Gulf Shores Pkwy, Gulf Shores AL 36542",sweets,,,,(251) 948-7098,4.5
Mikee's Seafood,"251 Gulf Shores Pkwy, Gulf Shores, AL 36542",restaurants,https://mikeesseafood.com,,,(251) 948-6452,4.5
Miso Seafood & Sushi Bar (Gulf Shores),"3800 Gulf Shores Pkwy #230, Gulf Shores, AL 36542",restaurants,https://misoseafoodandsushi.com,,,(251) 948-2228,4.5
