name,address,category,website,facebook,instagram,phone,rating
Adventure Island,"24559 Perdido Beach Blvd, Orange Beach, AL 36561",activities,https://adventureislandgulfshores.com,,,(251) 981-4034,4.4
AMC Theatre at The Wharf,"4851 Wharf Pkwy E, Orange Beach, AL 36561",entertainment,https://www.amctheatres.com/movie-theatres/birmingham/amc-the-wharf-15,,,(251) 224-2262,4.4
Angry Crab Shack,"25751 Perdido Beach Blvd #1-A, Orange Beach, AL 36561",restaurants,https://www.angrycrabshack.com/perdido-blvd-orange-beach-al/,https://www.facebook.com/angrycrabshackorangebeachal,,(251) 981-1136,4.5
Beach Girl Coffee (Orange Beach),"25122 Canal Rd, Orange Beach AL 36561",coffee,,,,(251) 233-8249,4.5
Big Fish Restaurant & Bar,"25814 Canal Rd, Orange Beach, AL 36561",restaurants,https://bigfishrestaurantbar.com,,,(251) 981-5516,4.5
Big Mike's Steakhouse (Orange Beach),"25638 Canal Rd, Orange Beach, AL 36561",restaurants,https://bigmikessteakhouse.com,,,(251) 981-6453,4.5
BOLO Steak & Seafood,"25775 Perdido Beach Blvd, Orange Beach, AL 36561",restaurants,https://www.bolorestaurant.com,,,(251) 981-6800,4.6
The Brick Oven (Orange Beach),"21040 State Hwy 180, Orange Beach AL 36561",restaurants,https://thebrickovenob.com,,,(251) 981-3543,4.5
Brick & Spoon (Orange Beach),"24705 Canal Rd, Orange Beach AL 36561",restaurants,https://brickandspoon.com,,,(251) 981-7772,4.5
BuzzCatz Coffee & Sweets (Orange Beach),"25689 Canal Rd, Orange Beach AL 36561",coffee,https://buzzcatzcoffee.com,,,(251) 980-2899,4.5
BuzzCatz Coffee & Sweets,"25689 Canal Road, Orange Beach, AL 36561",restaurants,https://buzzcatzcoffee.com,,,(251) 980-5862,4.7
Cactus Cantina – Orange Beach,"25908 Canal Rd, Orange Beach AL 36561",restaurants,https://cactuscantinaob.com,,,(251) 981-8565,4.5
Café Beignet (Orange Beach),"25405 Perdido Beach Blvd Ste 22, Orange Beach AL 36561",coffee,,,,(251) 981-2711,4.5
Ristorante Carmelo,"25747 Perdido Beach Blvd Suite 1, Orange Beach, AL",restaurants,https://carmeloitalian.com,,,(251) 200-4375,4.5
