name,address,website,phone,rating
Gulf Shores Sports,"{'city': 'Gulf Shores', 'state': 'AL', 'coordinates': {}}",https://gulfshoressports.bookdirect.net,,
Beach Girl At Home,"3947 AL-59, Gulf Shores, AL 36542, USA, Gulf Shores, AL",https://www.beachgirlathome.com/,(251) 223-4914,4.9
Pelican Nest RV Resort & Campground,"Orange Beach, AL 36561, USA, Gulf Shores, AL",http://www.dauphinislandcampground.com/,(251) 861-2338,4.6
Gulf Coast Arts Alliance,"{'street': '225 East 24th Avenue', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {'lat': 30.277963, 'lng': -87.684716}}",http://gulfcoastartsalliance.com/,(251) 948-2627,4.7
City of Gulf Shores,"{'street': '1905 W 1st Street', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36547', 'coordinates': {'lat': 30.25, 'lng': -87.28}}",https://www.gulfshoresal.gov,251-968-2425,
Woodside Restaurant,"{'street': '20249 State Park Road', 'city': 'Gulf Shores', 'state': 'Alabama', 'zip': '36542', 'coordinates': {'lat': 30.2667117, 'lng': -87.6795341}}",https://woodsideatgsp.com,251-923-3100,4.4
The Sloop,"{'street': '103 West Canal Drive', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542'}",https://www.thesloop.biz,251-500-1007,4.7
Foley Model Train Exhibit,"127 E Laurel Ave, Foley, AL 36535, USA, Gulf Shores, AL",https://foleyrailroadmuseum.com/,(251) 943-1818,4.8
Icehouse Tap Room Gulf Shores,"{'street': '112 Windmill Ridge Road', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542-6422', 'coordinates': {'lat': 30.2539215, 'lng': -87.6903732}}",https://www.icehousegs.com,(251) 200-0157,
Sea N Suds - Restaurant and Oyster Bar,"{'street': '409 E Beach Blvd', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542'}",https://sea-n-suds.com,+251-948-7894,
Prosperous Pelican Gallery,"24823 Commercial Ave #4, Orange Beach, AL 36561, USA, Gulf Shores, AL",,(251) 981-2022,4.6
Gone Coastal in Gulf Shores LLC,"{'city': 'Gulf Shores', 'state': 'Alabama', 'country': 'USA'}",https://gonecoastalgs.com/,251-330-5143,
Mo's Landing,"{'street': 'Fort Morgan Road (Highway 180)', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {'lat': 30.2456, 'lng': -87.7289}}",https://www.gulfshoresal.gov/1221/Mos-Landing,251-968-2425,
Gulf Island Grill,"{'street': '244 E Beach Blvd', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {}}",https://www.gulfislandgrill.co,251-968-4440,4.2
