name,address,website,phone,rating
The Bowlin' Alley,"3212 20th Ave, Gulf Shores, AL",https://www.thebowlinalley.com/,(334) 768-2008,3.6
Island Wing Company Grill & Bar - Gulf Shores,"3947 AL-59 #100, Gulf Shores, AL 36542, USA",http://www.islandwing.com/,(251) 970-1337,4.3
Ebro Card Casino & Racebook,"6558 Dog Track Rd, Gulf Shores, FL",http://www.goebro.com/,(850) 234-3943,4.1
Gutter Lounge At Phoenix,"3200 N Palafox St, Gulf Shores, FL",http://gutter-phoenix.edan.io/,(850) 438-0700,4.3
The Bar Fitness-Gym and Spa for Women,"22245 AL-59, Gulf Shores, AL",http://www.thebar4women.com/,(251) 550-9494,5
The Grid Arcade Bar,"2414 N Pace Blvd, Gulf Shores, FL",http://www.thegridarcadepensacola.com/,(850) 563-7800,4.8
Apple Annie's,"130 E Government St, Gulf Shores, FL",http://www.sevillequarter.com/rooms/apple-annies,(850) 434-6211,4.2
The Spot - Night Club & Bar,"7790 Tanner Rd, Gulf Shores, AL",https://www.thespotmobile.com/,(251) 725-0938,4.6
Treasure Bay Casino and Hotel,"1980 Beach Blvd, Gulf Shores, AL",https://treasurebay.com/,(228) 385-6000,4.1
Flo & Glo IV Wellness Lounge (Gulf Shores),"3947 Gulf Shores Pkwy #140, Gulf Shores, AL",http://flongloivgulfshores.com/,(251) 424-1777,5
Wind Creek Wetumpka,"100 River Oaks Dr, Gulf Shores, AL",https://windcreek.com/wetumpka,(866) 946-3360,4.3
"Johnny B’s Front Porch, Lillian,Al","33925 US-98, Gulf Shores, AL",,(251) 223-4014,4.4
Cedar Street Social,"4 N Cedar St, Gulf Shores, AL",http://www.outsiderspresents.com/,(251) 607-6221,4.8
"Seminole Hard Rock Hotel & Casino Hollywood, FL","1 Seminole Way, Gulf Shores, FL",https://casino.hardrock.com/hollywood?utm_campaign=shrss_casino_hard-rock-hotel-and-casino-hollywood_websitelisting&utm_medium=referral&utm_source=gmb,(866) 502-7529,4.5
Moonshine Saloon,"9722 US-98, Gulf Shores, FL",,(850) 466-5575,4.2
Bartram Park,"211 Bayfront Pkwy, Gulf Shores, FL",https://cityofpensacola.com/Facilities/Facility/Details/Bartram-Park-17,(850) 436-5670,4.4
Beautiful Buzz Beauty Bar,"2033 W 1st St Suite 4, Gulf Shores, AL",http://www.beautifulbuzzbeautybar.com/,(251) 404-4311,5
Sammy's,"500 E Gregory St, Gulf Shores, FL",https://www.sammysonline.com/,(850) 432-5157,3.4
Neighborhood Barre Gulf Shores,"3800 Gulf Shores Pkwy Unit 118, Gulf Shores, AL 36542, USA, Gulf Shores, AL",https://neighborhoodbarre.com/location/nb-gulf-shores/,(251) 504-6441,5
O'choppers,"25910 Canal Rd, Gulf Shores, AL",https://www.facebook.com/OChoppers-Irish-Pub-55898211818/,(251) 974-1300,4.6
Play Pensacola,"16 Palafox Pl Suite 200, Gulf Shores, FL",http://www.iplaypensacola.com/,(850) 466-2095,4.2
The Laundry Lounge,"{'street': '1700 East 1st St', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {}}",https://thelaundryloungegs.com/,(251) 256-6784,4.9
Legends Bar & Grille,"1 Doug Ford Dr #8707, Gulf Shores, FL",https://www.perdidobaygolf.com/legends-bar-grille/,(850) 492-1223,3.9
Unique Nails Lounge,"85 W Airport Blvd Unit 8, Gulf Shores, FL",http://uniquenailslounge.com/,(850) 725-1563,4.8
50/50 lounge,"8380 AL-59, Gulf Shores, AL",,(251) 943-4004,4.7
Hooligans Arcade,"519 1st St SW, Gulf Shores, AL",https://hooligansarcade.com/,(205) 230-8750,4.8
The Steamer & Baked Oyster Bar,"{'street': 'Behind Souvenir City', 'city': 'Gulf Shores', 'state': 'AL', 'coordinates': {}}",https://gulfcoaststeamer.com,,
Doc Holliday's,"203 N Cypress St, Foley, AL 36535, USA, Gulf Shores, AL",http://dochollidaysfoley.com/,(251) 943-3151,4.6
Spanish Trail Lanes,"2909 Old Spanish Trail, Gulf Shores, AL",https://spanishtraillanes.com/,(228) 497-2822,4.5
The Pony - Pensacola Gentlemen's Club,"500 E Gregory St, Gulf Shores, FL",https://theponypensacola.com/,(850) 285-0139,4.7
Golden Nugget Biloxi Hotel & Casino,"151 Beach Blvd, Gulf Shores, AL",https://www.goldennugget.com/biloxi/,(228) 435-5400,4.1
Barber Marina,"26986 Fish Trap Rd, Gulf Shores, AL",http://www.barbermarina.com/,(251) 987-2628,4.6
The Village Hideaway,"925 Beach Club Trail, Gulf Shores, AL",https://thebeachclub.spectrumresorts.com/dining/the-village-hideaway/?utm_source=google&utm_medium=places&utm_campaign=hideaway,(251) 224-3650,3.8
Hibas Gulf Shores Karaoke & Arcade Bar,"3800 Gulf Shores Pkwy Suite 210, Gulf Shores, AL 36542, USA",https://hibasgulfshores.com/,(251) 279-0414,4.7
Flight Deck,"3709 W Navy Blvd, Gulf Shores, FL",,(850) 455-9156,4.5
BF Beauty Bar,"214 Professional Ct # D, Gulf Shores, AL",http://bfbeautybar.com/,,5
