name,address,website,phone,rating
Delectable Delights by Tarolyn,"901 Massachusetts Ave #163, Gulf Shores, FL",http://delectabledelightsbytarolyn.com/,(850) 375-3417,4.9
TCBY,"1301 Gulf Shores Pkwy, Gulf Shores, AL",https://store.tcby.com/menu/gulfshoresal,(251) 968-8229,4.4
Pelican Scoops Ice Cream - Fort Morgan,"1577 AL-180, Gulf Shores, AL 36542, USA",,(251) 609-1515,4.9
Hershey's Ice Cream on the Beach,"17288 Perdido Key Dr, Gulf Shores, FL",https://www.canva.com/design/DAG2ucZ3Lu0/gea8hkQmwMH1glJzaR0Skw/view?utm_content=DAG2ucZ3Lu0&utm_campaign=designshare&utm_medium=link2&utm_source=uniquelinks&utlId=hbf699e93f5,(850) 444-8858,4.5
Black Cat Vegan Bakery,"105 W Orange Ave, Gulf Shores, AL",https://www.instagram.com/blackcatveganbakery__/?fbclid=IwZXh0bgNhZW0CMTEAAR01KaeBMtonn1SN9llP-2zr2ZnvAhsHFJQ5yfEQ0shjeX-IePaD_oMc8Ww_aem_2qP7ttofY0crLLM_eCwDzw,251-500-1788,4.7
Smallcakes of Pensacola,"5046 Bayou Blvd, Gulf Shores, FL",,(850) 332-5245,4.3
SWEET CONE ALABAMA ICE CREAM,"10427 Sorrento Rd ste. 103 ste. 103, Gulf Shores, FL",http://www.hersheyicecream.com/,(850) 456-0585,4.6
Happy Pappys Coffee,"{'street': '1550 West 2nd Street, Unit A5', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {}}",https://www.happypappyscoffee.com,(251) 967-2779,
Sherry's Cake Shop,"510 Massachusetts Ave, Gulf Shores, FL",,(850) 433-4208,4.6
Foam Coffee,"{'street': '313 East 22nd Avenue', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {}}",http://foamcoffeeandshop.com/,(251) 284-1620,4.5
New Orleans Original Snoballs,"320 E Beach Blvd, Gulf Shores, AL",https://www.facebook.com/New-Orleans-Original-Snoballs-Gulf-Shores-AL-139812446084035/,,4.7
