name,address,website,phone,rating
Electric Bikes Sales and Service,"207 E Fern Ave, Gulf Shores, AL",https://electricbikessalesandservice.com/,(205) 535-5792,5
"Urban Air Spanish Fort, AL","31000 Bass Pro Dr, Gulf Shores, AL",https://www.urbanairtrampolinepark.com/locations/alabama/spanish-fort,(256) 269-3213,4.7
Fort Gaines,"51 Bienville Blvd, Gulf Shores, AL",https://fort-gaines.com/,(251) 861-6992,4.7
Florida Public Archaeology Network/Destination Archaeology Resource Center,"207 E Main St, Gulf Shores, FL",http://www.fpan.us/,(850) 595-0050,4.7
diamond,"Gulf Shores, AL 36542, USA",,,1
Lauria's by the Beach,"412 W Beach Blvd, Gulf Shores, AL 36542, USA",https://m.facebook.com/Laurias-108209917985679/?ref=bookmarks#_=_,(251) 223-4963,4.5
Nelson Marina,"16800 Nelson Ln, Gulf Shores, AL",http://www.nelsonboatyard.com/,(251) 550-6054,4.9
Preserve at Perdido,"2600 S Blue Angel Pkwy, Gulf Shores, FL",https://www.preserveatperdido.com/,(855) 942-3422,4.2
Seminole Casino Hotel Immokalee,"506 S 1st St, Gulf Shores, FL",https://www.seminoleimmokaleecasino.com/?utm_campaign=sga%7Ccasino%7Cimmokalee%7Cgmb&utm_medium=organic&utm_source=google&utm_content=website,(239) 658-1313,4.1
Lost Key Marina & Yacht Club,"10045 Sinton Dr, Gulf Shores, FL",https://www.amberjackebikerentals.com/,(850) 492-2612,4.2
Butterfly Garden,"Orange Beach, Gulf Shores, AL",https://www.alapark.com/parks/gulf-state-park,,4.5
Eclipse Salon,"3876 S McKenzie St, Foley, AL 36535, USA, Gulf Shores, AL",,(251) 269-9341,4.7
Gulf Shores Public Parking,"236 W 1st Ave, Gulf Shores, AL 36542, USA",https://www.gulfshoresal.gov/1139/Beach-Parking,,4.3
Sassy Bass Market Place,"5160 AL-180 suite b, Gulf Shores, AL 36542, USA",https://sassybass.com/market-place/,(251) 975-1010 ext. 2,4.2
Gulf Shores Activity Center,"260 Clubhouse Dr, Gulf Shores, AL",https://www.gulfshoresal.gov/1167/Activity-Center,(251) 968-1173,4.9
Circle H Vacations,"13575 Sandy Key Dr, Gulf Shores, FL",https://www.circlehvacations.com/about-us,(256) 620-5014,
Pine Beach Trail,"1609 Mobile St, Gulf Shores, AL",http://fws.gov/,,4.6
Ourperfectvacation,"31 Meadow Ln, Gulf Shores, AL",http://www.ourperfectvacation.com/,(256) 530-0990,5
Jurassic Golf,"3800 Gulf Shores Pkwy #142, Gulf Shores, AL",http://www.jurassicgolfgs.com/,(251) 948-0227,4.4
Zoo Foundation Inc,"20499 Oak Rd E, Gulf Shores, AL",http://alabamagulfcoastzoo.org/,(251) 256-7008,4.4
Mikato Japanese Steakhouse,"{'street': '3800 Gulf Shores Pkwy, Ste 200', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {'lat': 30.300315, 'lng': -87.681085}}",http://mikatojapanese.com/,(251) 968-2525,
Lillian Veterinary Hospital,"33940 US-98, Gulf Shores, AL",https://www.lillianvethospital.com/,(251) 962-2304,4.8
509 Live,"270 Dauphin St, Gulf Shores, AL",,(541) 430-4245,4.2
Weeks Bay Pitcher Plant Bog and Kurt G. Wintermeyer Nature Trail,"13066 Fish River Rd, Gulf Shores, AL",https://www.outdooralabama.com/weeks-bay-reserve/weeks-bay-pitcher-plant-bog,(251) 928-9792,4.6
Harrison Park,"5074 Bayou Dr, Gulf Shores, AL",,,4.1
BeachLIFE Fitness Functional Fitness Perdido Key,"13118 Sorrento Rd ste d, Pensacola, FL 32507, USA, Gulf Shores, FL",http://beachlifefitness.com/,(509) 220-6066,4.9
Big Water Bay,"107 S Owa Blvd, Gulf Shores, AL",https://visitowa.com/attractions/big-water-bay/,,5
Hand & Stone Massage and Facial Spa - Gulf Shores,"{'street': '3800 Gulf Shores Parkway Suite 400', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {}}",https://handandstone.com,+1-251-283-0800,
Red Roof Inn Gulf Shores,"3049 W 1st St, Gulf Shores, AL",https://www.redroof.com/property/al/Gulf-Shores/RRI946?utm_source=GMB&utm_medium=Google&utm_campaign=GMB_Performance_RRI946,#ERROR!,3.2
Orange Beach Weddings,"24951 Perdido Beach Blvd #100, Gulf Shores, AL",http://www.orangebeachweddings.com/,(251) 923-7164,5
Orange Beach Performing Arts Center,"23908 Canal Rd, Gulf Shores, AL",https://www.orangebeachal.gov/events/performing-arts,(251) 923-0043,5
Efes Greek Kitchen,"{'street': '1550 AL-59', 'city': 'Gulf Shores', 'state': 'Alabama', 'zip': '36542', 'coordinates': {'lat': 30.26674599999999, 'lng': -87.688118}}",https://efesgreekkitchen.com,+1-256-342-1000,4.6
Parking 10/13,"4 W 10th St, Gulf Shores, AL 36542, USA",,,
Hertz Car Rental - Gulf Shores,"{'street': 'FBO-gulf Air Jka', 'city': 'Gulf Shores', 'state': 'Alabama', 'coordinates': {}}",https://www.hertz.com/us/en/location/unitedstates/alabama/gulfshores/guft01,,
5eleven Palafox Event Hosting,"511 S Palafox St, Gulf Shores, FL",https://5elevenpalafox.com/,(850) 977-0180,4.6
Basil & Sprout,"4771-1 Bayou Blvd, Gulf Shores, FL",https://www.basilsprout.com/,(850) 857-8055,4.5
Pensacola Greyhound Track & Poker Room,"951 Dog Track Rd, Gulf Shores, FL",http://pensacolagreyhoundtrack.com/,(850) 456-9800,3.8
University of West Florida Center for Fine & Performing Arts,"11000 University Pkwy Building 82, Gulf Shores, FL",http://uwf.edu/cfpa/,(850) 857-6285,4.4
Haven Harbor,"2608 Ponce De Leon Ct, Gulf Shores, AL",https://www.vacationhomescollection.com/rentals/haven-harbor,,4.7
Amberjack E-Bike Rentals,"{'city': 'Gulf Shores', 'state': 'Alabama', 'coordinates': {}}",https://www.amberjackebikerentals.com/,,
Pensacola Casino Beach,"Pensacola Beach, Gulf Shores, FL",,,5
"Dolphin Cove Marina Gulf Shores, AL","4159 Co Rd 6, Gulf Shores, AL",https://www.dolphin-cove-marina.com/,(251) 223-4055,5
Wolf Creek Park,"9575 Wolf Creek Ridge, Gulf Shores, AL",https://grahamcreekpreserve.org/wolf-creek-park/,(251) 973-4267,4.6
Seawind Condos,"{'street': '401 East Beach Beach Boulevard', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542'}",https://www.gulfshorescondoseawind.com/,(913) 620-1375,
Fort Whiting Reception Hall,"1630 S Broad St, Gulf Shores, AL",,(251) 405-4963,4.6
West Beach,"1961 W Beach Blvd, Gulf Shores, AL",,,4.5
Casino Beach Pavilion,"Gulf Breeze, Gulf Shores, FL",,,5
Ocean Reef,"{'street': '507 W Beach Blvd #204', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542'}",https://www.vogao.com/condos/ocean-reef,,4.2
Dauphin Island Campground,"Orange Beach, AL 36561, USA, Gulf Shores, AL",https://www.townofdauphinisland.org/things-to-do/dauphin-island-campground,(251) 861-2742,4.5
Nonna's Pizza,"1209 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",http://nonnaspizzagulfshores.com/,(251) 223-4270,4.4
The Traveling Mouse Company,"11898 Halcyon Loop, Gulf Shores, AL",https://thetravelingmouse.com/,(251) 263-6267,5
Veranda at the Preserve,"28341 Preserve Trl, Gulf Shores, AL",http://www.verandaatpreserve.com/,(251) 986-8392,5
Emerald Oasis Day Spa and Salon,"16281 Perdido Key Dr, Pensacola, FL 32507, USA, Gulf Shores, FL",,(850) 725-0002,5
The Galway Irish Public House,"{'street': '2301 East 2nd Street', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {'lat': 30.27572, 'lng': -87.68351}}",http://www.galwayirishpub.com/,251-339-2150,4.7
Pontoon Boat Rentals Hudson Marina,"4575 S Wilson Blvd, Gulf Shores, AL",https://hudsonmarina.stellarims.com/,(251) 981-4128,4.9
enrG Wellness,"620 N McKenzie St Suite 200, Gulf Shores, AL",http://www.enrgwellness.com/,(251) 943-9355,4.9
Jesse’s On The Bay,"1631 Crosswinds Ct, Gulf Shores, AL 36542, USA",https://jessesrestaurant.com/,(251) 965-3827 ext. 2,4.7
Hello Gorgeous Salon,"117 E 14th Ave, Gulf Shores, AL",https://hellogorgeoussalongulfshores.com/,(251) 597-2989,5
gas station,"3690 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://bp.com/,850-497-6012,4.2
Legendary Marine - Gulf Shores,"3977 Gulf Shores Pkwy, Gulf Shores, AL",https://www.legendarymarine.com/,(251) 220-9942,4.5
GLITTER GORGEOUS Day Spa,"309 Main St, Gulf Shores, AL",https://glitter-gorgeous.square.site/,(970) 768-3402,
Crico's Pizza & Subs,"{'street': '309 Gulf Shores Parkway', 'city': 'Gulf Shores', 'state': 'AL', 'zip': '36542', 'coordinates': {'lat': 30.2505993, 'lng': -87.6897378}}",https://cricospizza.com,251-948-3100,4.6
