name,address,website,phone,rating
Pink Pelican Art Gallery,"24823 Canal Rd, Orange Beach, AL 36561, USA, Gulf Shores, AL",,(251) 219-0050,5
Vampire Penguin Perdido Key,"14110 Perdido Key Dr, Gulf Shores, FL",https://www.vampirepenguinpensacola.com/,(850) 377-4139,4.8
Books on Main,"302 Main St, Gulf Shores, AL",http://www.thebooksonmain.com/,(970) 370-2094,5
The Greenhouse Garden Center,"20272 AL-59, Gulf Shores, AL",http://www.greenhousegc.com/,(251) 978-2050,4.9
Black Cafe and Bookstore,"3498 Doctor M.L.K. Jr Dr, Gulf Shores, FL",http://www.blackcafeandbooks.com/,(850) 262-9344,4.8
Eastern Shore Plaza,"10200 Eastern Shore Blvd, Gulf Shores, AL",http://www.easternshorecentre.com/,(251) 625-0060,4.4
Alvin's Island - Gulf Shores #19,"100 W Beach Blvd, Gulf Shores, AL",http://www.alvinsisland.com/,#ERROR!,4.7
Backstage Boutique,"5100 N 9th Ave Space A109, Gulf Shores, FL",https://thebackstageboutique.com/,(850) 607-0292,4.8
The Orange Beach Store,"25777 Perdido Beach Blvd, Gulf Shores, AL",https://theorangebeachstore.com/,(251) 981-0988,4.4
Odd Bob's,"14809 AL-59, Foley, AL 36535, USA, Gulf Shores, AL",http://oddbobs.com/,(251) 943-6349,4.6
Emporium@C - Coastal Gifts & More - Orange Beach,"25405 Perdido Beach Blvd #11, Gulf Shores, AL",http://www.emporiumatc.com/,(251) 981-8444,4.7
Irwin Square,"806 S McKenzie St, Gulf Shores, AL",,,4.4
Alvin's Island - Orange Beach #22,"24949 Perdido Beach Blvd, Gulf Shores, AL",http://www.alvinsisland.com/,#ERROR!,4.7
Eastern Shore Cycles,"6845 US-90 #102, Gulf Shores, AL",https://www.thebike-shop.com/,(251) 626-0079,5
University Town Plaza,"7171 N Davis Hwy, Gulf Shores, FL",https://wpgus.com/property/university-town-plaza/,(614) 621-9000,4.2
Panhandle Exotics,"37 N Navy Blvd, Gulf Shores, FL",http://www.panhandleexotics.com/,(850) 542-4410,4.4
"American Legacy Co, The Trump Store AL","3859 Gulf Shores Pkwy STE 4, Gulf Shores, AL",https://americanlegacycothetrumpstoreal.com/,(251) 200-7624,3.5
Helzberg Diamonds,"5100 N 9th Ave Space G709, Gulf Shores, FL",https://www.helzberg.com/store?storeId=0256&utm_source=GMBlisting&utm_medium=organic,(850) 477-3173,4.9
Beré Jewelers,"5033 N 12th Ave, Gulf Shores, FL",https://www.berejewelers.com/,(850) 477-6818,4.9
Pet Nation,"1898 Andorra St, Gulf Shores, FL",http://www.petnation.org/,(850) 936-8201,4.4
Stone Jewelers,"8621 Lillian Hwy, Gulf Shores, FL",https://stonejewelers8621.wixsite.com/8504551177,(850) 455-1177,4.5
Ron Jon Surf Shop - Orange Beach,"22723 Perdido Beach Blvd, Gulf Shores, AL",https://www.ronjonsurfshop.com/store/orange-beach-alabama,(251) 981-8008,4.5
Bungalows,"4776 Wharf Pkwy W #110, Gulf Shores, AL",,#ERROR!,3.6
"Alvin's Island - Orange Beach, AL #780","27433 Perdido Beach Blvd, Gulf Shores, AL",http://www.alvinsisland.com/,#ERROR!,4.7
Sundog Books,"89 Central Square, Gulf Shores, FL",http://www.sundogbooks.com/,(850) 231-5481,4.6
Warrington Shopping Center,"4051 Barrancas Ave, Gulf Shores, FL",,,4.2
Arts of Dauphin Island,"1101 Bienville Blvd, Gulf Shores, AL",http://artsofdauphinisland.org/?utm_source=gmb&utm_medium=referral,(251) 272-9099,4.7
The Occasional Wife Estate Sale Store,"13440 Perdido Key Dr, Gulf Shores, FL",https://theoccasionalwife.com/,(850) 208-1245,4.4
Elebash Jewelry Co,"36 Palafox Pl, Gulf Shores, FL",http://www.elebashs.com/,(850) 432-5136,4.9
Drift Boutique,"960 E 9 Mile Rd #5, Gulf Shores, FL",https://www.facebook.com/DriftPensacolaFL/,(850) 332-5126,4.7
The Wharf Marina,"23101 Canal Rd, Orange Beach, AL 36561, USA, Gulf Shores, AL",https://alwharf.com/?utm_source=GBP&utm_medium=organic&utm_campaign=website,(251) 224-1000,5
Souvenir City,"217 Gulf Shores Pkwy, Gulf Shores, AL",https://souvenircityob.com/,(251) 948-7280,4.3
PNC Fish and More,"320 Racetrack Rd NE, Gulf Shores, FL",https://www.facebook.com/pncfishandmore,(850) 374-3817,4.9
Utopia,"4830 Main St, Gulf Shores, AL",,(251) 981-1116,4.5
KAY Jewelers,"5100 N 9th Ave Unit C - 327, Gulf Shores, FL",https://stores.kay.com/fl/pensacola/364?cid=seo-listings,(850) 477-5677,4.4
Changing Tides Jewelry,"7150 Tippin Ave #10165, Gulf Shores, FL",http://www.changingtidesjewelry.com/,,4.5
A Fish Store,"3960 W Navy Blvd Ste 19, Gulf Shores, FL",http://afishstore.com/,(850) 898-3409,4.6
Andy Andrews | Wisdom Harbour Studios,"4751 Main St F213, Orange Beach, AL 36561, USA, Gulf Shores, AL",http://andyandrews.com/,(251) 981-5005,5
Books-A-Million,"2524 S McKenzie St, Foley, AL 36535, USA, Gulf Shores, FL",https://www.booksamillion.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-383,(251) 436-1002,4.5
Charm Boutique,"1545 Gulf Shores Pkwy, Gulf Shores, AL",https://shopcharmboutique.com/,(251) 948-3500,4.8
Posh Pets Boutique,"AT COSMOS COURTYARD COSMO'S RESTAURANT, Gulf Shores, AL",http://www.sweetpeasposhpets.com/,(251) 948-0147,5
Gulfarium Gift Shop,"1010 Miracle Strip Pkwy SE, Gulf Shores, FL",http://www.gulfarium.com/,(850) 243-9046,4.1
bealls,"3800 Gulf Shores Pkwy Ste 300 300, Gulf Shores, AL",https://stores.bealls.com/al/gulfshores/clothing-store-880.html?utm_source=GMBlisting&utm_medium=organic,(251) 201-7978,4.3
Cordova Mall,"5100 N 9th Ave, Gulf Shores, FL",https://www.simon.com/mall/cordova-mall,(850) 477-5355,4.4
