name,address,website,phone,rating
The Hangout,"101 E Beach Blvd, Gulf Shores, AL 36542, USA",https://www.thehangout.com/hangout-gulf-shores/,(251) 948-3030,4.6
Mikato Japanese Restaurant,"3800 Gulf Shores Pkwy #200, Gulf Shores, AL 36542, USA",http://mikatojapanese.com/,(251) 968-2525,4
Original Oyster House Boardwalk,"701 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.originaloysterhouse.com/,(251) 948-2445,4.4
Craft Farms Golf Club,"3840 Cotton Creek Cir, Gulf Shores, AL 36542, USA",http://www.craftfarms.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(251) 968-3002,4.8
Island Pancake House,"337 E Beach Blvd, Gulf Shores, AL 36542, USA",http://www.bwonthebeach.com/,(251) 948-2711,4.4
Sea N Suds,"405 E Beach Blvd, Gulf Shores, AL 36542, USA",http://www.sea-n-suds.com/,(251) 948-7894,4.3
Gulf Shores Tattoos & Piercings,"618 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.facebook.com/p/Patches-Tattoo-Emporium-100046590503057/,(251) 540-2100,4
Cafe Beignets of Alabama GS,"200 W Fort Morgan Rd, Gulf Shores, AL 36542, USA",,(251) 948-2311,4.2
Foam Coffee,"313 E 22nd Ave, Gulf Shores, AL 36542, USA",http://foamcoffeeandshop.com/,(251) 284-1620,4.6
Gulf Shores Diner,"3639 Gulf Shores Pkwy #4, Gulf Shores, AL 36542, USA",,(251) 948-0088,4.6
A Specialty Bakery,"2200 E 2nd St STE I, Gulf Shores, AL 36542, USA",http://aspecialtybakery.net/,(251) 968-2253,4.8
Shell,"2020 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://find.shell.com/us/fuel/10089740-2020-gulf-shores-pkwy/en_US,(251) 973-6017,3.1
Peninsula Golf & Racquet Club,"20 Peninsula Blvd, Gulf Shores, AL 36542, USA",https://peninsulagolfclub.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(251) 968-8009,4.7
Pink Pony Pub,"137 E Gulf Pl, Gulf Shores, AL 36542, USA",http://www.pinkponypub.net/?utm_source=gbp&utm_medium=organic,(251) 948-6371,4.1
De Soto's Seafood Kitchen,"138 W 1st Ave, Gulf Shores, AL 36542, USA",https://www.desotosseafoodkitchen.com/,(251) 948-7294,4.4
Peninsula Restaurant & Grill,"20 Peninsula Blvd, Gulf Shores, AL 36542, USA",https://peninsulagolfclub.com/bar-and-grill/,(251) 968-8010,4.5
Big Beach Brewing,"300 E 24th Ave, Gulf Shores, AL 36542, USA",http://bigbeachbrewing.com/,(251) 948-2337,4.8
Bleus Burger Restaurant and Bar,"3800 Gulf Shores Pkwy #240, Gulf Shores, AL 36542, USA",http://www.bleusburger.com/,(251) 219-8448,4.4
Tuscany Pizza and Grill,"Pelican Place, 3800 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",http://tuscanypizzaandgrill.com/,(251) 948-0777,4.4
Gulf to Go,"287 Royal Dr, Gulf Shores, AL 36542, USA",,(251) 973-6424,3.1
Marco's Pizza,"160 Cotton Creek Dr, Gulf Shores, AL 36542, USA",https://www.marcos.com/our-locations/restaurants/AL/Gulf-Shores/marcos-pizza-cotton-creek-drive-gulf-shores-gulf-shores-1,(251) 975-1200,4.1
Zaxbys Chicken Fingers & Buffalo Wings,"1800 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.zaxbys.com/locations/al/gulf-shores/1800-gulf-shores-pkwy/?utm_source=local&utm_medium=organic&utm_campaign=gmb,(251) 948-0400,4.2
LongHorn Steakhouse,"3810 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.longhornsteakhouse.com/locations/al/gulf-shores/gulf-shores/5313?cmpid=br:lh_ag:ie_ch:loc_ca:LHGMB_sn:gmb_gt:gulf-shores-al-5313_pl:locurl_rd:1262,(251) 967-3480,4.4
Publix Super Market at Colonial Promenade at Craft Farms,"160 Cotton Creek Dr #100, Gulf Shores, AL 36542, USA",https://www.publix.com/?setstorenumber=1292&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,(251) 948-1281,4.6
Hope's Cheesecake,"210 E 20th Ave, Gulf Shores, AL 36542, USA",http://www.hopescheesecake.com/,(251) 968-5858,4.7
Lickin Good Donuts & Kolaches -Gulf Shores,"229 E 20th Ave #14, Gulf Shores, AL 36542, USA",https://www.facebook.com/pages/category/Donut-Shop/Lickin-Good-Donuts-in-Gulf-Shores-2088614001361563/,(251) 233-3968,4.8
Publix Super Market at Paradise Isle Shopping Center,"1720 Gulf Shores Pkwy Ste 2, Gulf Shores, AL 36542, USA",https://www.publix.com/?utm_medium=maps&utm_source=google&utm_content=psm_google_override,(251) 240-3003,4.6
Mudbugs Dive Bar,"624 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.facebook.com/MudBugs-Pub-113373175361869/,(251) 948-8081,3.9
Hibas Gulf Shores Karaoke & Arcade Bar,"3800 Gulf Shores Pkwy Suite 210, Gulf Shores, AL 36542, USA",https://hibasgulfshores.com/,(251) 279-0414,4.7
Bar 45,"4500 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://oneclubgulfshores.com/45-restaurant-bar/,(251) 968-3234,4.4
China Dragon,"2200 E 2nd St STE K, Gulf Shores, AL 36542, USA",https://www.chinadragonalabama.com/,(251) 968-2115,3.6
Domino's Pizza,"1145 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(251) 968-4110,3.2
Domino's Pizza,"3947 AL-59 Ste 180 STE 180, Gulf Shores, AL 36542, USA",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(251) 228-5425,3.5
Surfside Pizza & Ice Cream,"520 W Beach Blvd, Gulf Shores, AL 36542, USA",https://surfsidepizza.com/,(251) 948-0078,4.2
Sbarro,"7074 AL-59, Gulf Shores, AL 36480, USA",http://www.sbarro.com/,(251) 571-3079,3.6
