name,address,website,phone,rating
Uptown Plaza,"229 E 20th Ave, Gulf Shores, AL 36542, USA",,(251) 923-6475,4.5
Paradise Isle Shopping Center,"1720 AL-59, Gulf Shores, AL 36542, USA",,,4.7
Pelican Place at Craft Farms,"3800 Gulf Shores Pkwy Suite 402, Gulf Shores, AL 36542, USA",,(251) 968-3638,4.8
The Square Shopping Center,"1538 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",,(251) 609-2873,5
Del Mar Properties LLC,"3757 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",http://www.retailspaceingulfshores.com/,(251) 968-7438,4.3
Think Outside...,"6642B AL-59, Gulf Shores, AL 36542, USA",http://www.thinkoutsidegulfshores.com/,(251) 968-9775,4.5
Budget Blinds of Baldwin County,"183 Northshore Pl, Gulf Shores, AL 36542, USA",http://www.budgetblinds.com/baldwincounty/?utm_source=Internet&utm_medium=Directory&utm_campaign=GOOGLE-PLACES,(251) 948-7626,4.9
Beachside Furniture & Interiors,"3947 Gulf Shores Pkwy Suite 200, Gulf Shores, AL 36542, USA",https://www.beachsidefurnitureinteriors.com/,(251) 968-2734,4.9
Geez Louise Boutique,"701 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",http://shopgeezlouise.com/,(251) 270-4439,4.4
Chevron,"2105 E 2nd St, Gulf Shores, AL 36542, USA",https://www.chevronwithtechron.com/station/,(251) 968-7775,3.7
Murphy USA,"140 E Fort Morgan Rd, Gulf Shores, AL 36542, USA",http://www.murphyusa.com/,(251) 540-7602,4.1
Beach House Boutique,"3800 Gulf Shores Pkwy #320, Gulf Shores, AL 36542, USA",http://shopthebeachlife.com/,(251) 948-7467,3.3
Island Girl Jewelry & Souvenirs,"501 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",,(251) 540-1335,4.6
The Royal Standard,"3769 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.theroyalstandard.com/?utm_source=google&utm_medium=organic&utm_campaign=gulf_shores,(251) 243-7074,4.7
Angel Hair Salon & Boutique,"128 Cove Ave, Gulf Shores, AL 36542, USA",http://myangelhair.com/,(251) 923-6992,4.6
Books-A-Million,"3800 Gulf Shores Pkwy Suite 430, Gulf Shores, AL 36542, USA",https://www.booksamillion.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-421,(251) 968-4222,4.5
ConventionSouth Media Group,"750 Commerce Dr Suite 1, Gulf Shores, AL 36542, USA",http://conventionsouth.com/,(800) 968-0712,0
Sheriece Writes,"20050 Oak Rd E, Gulf Shores, AL 36542, USA",,(251) 284-6404,0
Computer Rescue,"723 W Beach Blvd, Gulf Shores, AL 36542, USA",,(251) 942-2119,0
Offshore Marine Electronics LLC,"217 E 16th Ave, Gulf Shores, AL 36542, USA",http://www.offshoremarineal.com/,(251) 308-4443,5
Dollar General,"15827 A AL-180, Gulf Shores, AL 36542, USA",https://www.dollargeneral.com/store-directory/al/gulf-shores/11840,(205) 419-6746,4.2
Dollar General,"224 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.dollargeneral.com/store-directory/al/gulf-shores/14179,(251) 219-0618,4.4
Closets by Island Enclosures,"3757 Gulf Shores Pkwy ste e, Gulf Shores, AL 36542, USA",https://islandenclosures.com/closets.html,(251) 968-9777,5
Baldwin Hearing Center,"3947 Gulf Shores Pkwy Suite 250, Gulf Shores, AL 36542, USA",http://www.baldwinhearing.com/,(251) 210-3929,4.5
