name,address,website,facebook,instagram,phone,rating
Agave Mexican Cantina – Gulf Shores,"1207 Gulf Shores Pkwy, Gulf Shores AL 36542",https://agavemexicanrestaurants.com,,,(251) 968-5055,4.5
Avenue Pub (Gulf Shores),"114 W 2nd Ave, Gulf Shores, AL 36542",https://avenuepubgulfshores.com,,,(251) 948-2627,4.5
Bahama Bob's,,https://www.bahamabobs.com,,,,4.5
The Beach House Kitchen & Cocktails,"1154 W Beach Blvd, Gulf Shores AL 36542",https://beachhousegs.com,,,(251) 948-2431,4.5
Big Beach Brewing Company,"300 E 24th Ave, Gulf Shores, AL 36542",https://bigbeachbrewing.com,,,(251) 948-2337,4.5
Big Mike's BBQ (Foley),"711 N McKenzie St, Foley, AL 36535",https://bigmikesbbq.net,,,(251) 943-6453,4.5
Bleus Burger (Gulf Shores),"3800 Gulf Shores Pkwy Ste 240, Gulf Shores AL 36542",https://bleusburger.com,,,(251) 948-2538,4.5
Cactus Cantina – Gulf Shores,"3849 Gulf Shores Pkwy, Gulf Shores AL 36542",https://cactuscantinagulfshores.com,,,(251) 948-3100,4.5
The Cove Bar & Grill (Gulf Shores),"131 E 18th Ave, Gulf Shores AL 36542",https://thecovebarandgrill.com,,,(251) 968-5353,4.5
The Crab Trap (Perdido Key),"16495 Perdido Key Dr, Pensacola, FL 32507",https://crabtrapflorida.com,,,(850) 492-8888,4.5
Crico's Pizza & Subs,"309 Gulf Shores Pkwy #68, Gulf Shores AL 36542",https://cricospizza.com,,,(251) 948-3100,4.5
Down South BBQ (Foley),"19891 Co Rd 10, Foley, AL 36535",https://downsouthbbq.com,,,(251) 955-6622,4.5
Efe's Greek Kitchen (Gulf Shores),"200 W 23rd Ave, Gulf Shores AL 36542",https://efesgreekkitchen.com,,,(251) 948-7862,4.5
Fish River Grill #3 (Gulf Shores),"1545 Gulf Shores Pkwy, Gulf Shores, AL 36542",https://fishrivergrillgs.com,,,(251) 948-1110,4.5
Flora-Bama Lounge & Oyster Bar,"17401 Perdido Key Dr, Perdido Key FL 32507",https://florabama.com,,,(850) 492-0611,4.5
Gelato Joe's (Foley),"202 E Michigan Ave, Foley AL 36535",https://gelatojoes.com,,,(251) 943-4845,4.5
Gulf Island Grill,"244 E Beach Blvd, Gulf Shores, AL 36542",https://gulfislandgrill.co,,,(251) 968-4440,4.5
Hazel's Nook (Gulf Shores),"120 E Fort Morgan Rd, Gulf Shores AL 36542",https://hazelsnook.com,,,(251) 968-7065,4.5
