name,address,website,phone,rating
Hibas Gulf Shores Karaoke & Arcade Bar,"3800 Gulf Shores Pkwy Suite 210, Gulf Shores, AL 36542, USA",https://hibasgulfshores.com/,(251) 279-0414,4.7
Jurassic Golf,"3800 Gulf Shores Pkwy #142, Gulf Shores, AL 36542, USA",http://www.jurassicgolfgs.com/,(251) 948-0227,4.4
Mini Golf Arcade,"Gulf Shores, AL 36542, USA",,,3.5
Mudbugs Dive Bar,"624 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.facebook.com/MudBugs-Pub-113373175361869/,(251) 948-8081,3.9
Pirate's Island Adventure Golf,"3201 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.piratesislandgolf.com/our-locations/gulf-shores-al-pirates-island/,(251) 968-4653,4.7
Shrimpy's Grill and Golf,"204 E 2nd Ave, Gulf Shores, AL 36542, USA",https://www.shrimpysminigolf.com/,(251) 948-6464,4.3
The Factory Gulf Shores,"18948 Oak Rd W, Gulf Shores, AL 36542, USA",http://thefactorygulfshores.com/,(251) 202-0900,4.5
The Track - Gulf Shores,"3200 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.funatthetrack.com/,(251) 270-0209,4.4
Waterville USA/Escape House,"906 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://watervilleusa.com/,(251) 948-2106,4.3
Zooland Mini Golf,"1204 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://www.zoolandminigolf.com/,,3.9
