name,address,website,phone,rating
A Specialty Bakery,"137 E Gulf Pl, Gulf Shores, AL 36542, USA",http://www.pinkponypub.net/?utm_source=gbp&utm_medium=organic,(251) 948-6371,4.1
A Sweet Secret Bakery & Cafe,"21196 E Beach Blvd, Gulf Shores, AL 36542, USA",https://lodgeatgulfstatepark.com/dining/,(251) 923-2940,4.7
Anchored Coffee House,"1154 W Beach Blvd #6200, Gulf Shores, AL 36542, USA",http://beachhousegs.com/,(251) 948-2431,4.3
Beach Bums Coffee & Deli,"138 W 1st Ave, Gulf Shores, AL 36542, USA",https://www.desotosseafoodkitchen.com/,(251) 948-7294,4.4
Beach Girl Coffee,"601 W Beach Blvd, Gulf Shores, AL 36542, USA",http://www.bahamabobs.com/,(251) 948-2100,4.5
Blue Sky Parasailing and Watersports,"240 E 24th Ave, Gulf Shores, AL 36542, USA",http://tackyjacks.com/,(251) 948-8881,4.4
Cafe Beignets of Alabama GS,"229 E 20th Ave #13, Gulf Shores, AL 36542, USA",http://www.southernshorescoffee.com/,(251) 442-5415,4.2
Chocolate Corner & Ice Cream,"1137 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",https://kingneptunes.website/,(251) 968-5464,4.1
Cowbell Rolled Ice Cream,"1631 Crosswinds Ct, Gulf Shores, AL 36542, USA",https://jessesrestaurant.com/,(251) 965-3827 ext. 2,4.7
Crumbl,"405 E Beach Blvd, Gulf Shores, AL 36542, USA",http://www.sea-n-suds.com/,(251) 948-7894,4.3
Duck’s Diner,"408 W Beach Blvd, Gulf Shores, AL 36542, USA",https://hightidedaiquiris.com/,(251) 324-6205,4.5
Foam Coffee,"101 E Beach Blvd, Gulf Shores, AL 36542, USA",https://www.thehangout.com/hangout-gulf-shores/,(251) 948-3030,4.6
Gelato Scoop - Gulf Shores,"3800 Gulf Shores Pkwy #100, Gulf Shores, AL 36542, USA",http://www.kittyskafe.com/,(251) 948-5233,4.6
Gulf Shores Kayak Rentals,"20249 State Park Rd, Gulf Shores, AL 36542, USA",http://woodsideatgsp.com/,(251) 923-3100,4.4
Gulf Shores Soda Fountain,"160 Cotton Creek Dr ste 250, Gulf Shores, AL 36542, USA",https://misoseafood.com/?utm_source=google,(251) 256-0051,4.6
Happy Pappys Coffeehouse,"205 E 2nd Ave, Gulf Shores, AL 36542, USA",http://mikeesseafood.com/,(251) 948-6452,4.1
High Tide Daiquiris & Mimosas,"131 Cove Ave, Gulf Shores, AL 36542, USA",http://covebargrill.com/,(251) 968-5353,4.6
Hope's Cheesecake,"128 E 1st Ave, Gulf Shores, AL 36542, USA",https://www.picnicbeach.com/,(251) 540-0117,4.8
Ike's Parasail,"2200 E 2nd St, Gulf Shores, AL 36542, USA",https://www.facebook.com/TheDinerAL/,(251) 224-3182,4.5
