name,address,website,phone,rating
Coastal Segway Adventures,"21101 AL-135, Gulf Shores, AL 36542, USA",http://www.coastalsegwayadventures.com/,(251) 509-8687,4.8
Coyote Beach Sports,"112 E 1st Ave, Gulf Shores, AL 36542, USA",https://coyotebeachsportsal.com/,(251) 228-2080,4.9
"Dolphin Cove Marina Gulf Shores, AL","4159 Co Rd 6, Gulf Shores, AL 36542, USA",https://www.dolphin-cove-marina.com/,(251) 223-4055,5
Down Under Dive Shop,"1129 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",http://www.downunderdiveshop.com/,(251) 968-3483,4.5
E-Bikes & Boards,"1129 Gulf Shores Pkwy Suite C, Gulf Shores, AL 36542, USA",http://www.e-bikesandboards.com/,(251) 505-2925,4.9
Gulf Coast Boat Rentals,"E Canal Dr, Gulf Shores, AL 36542, USA",https://www.gulfcoastboatrentals.com/,(251) 496-3120,5
Gulf Shores Bike Rentals,"824 Gulf Shores Pkwy C2, Gulf Shores, AL 36542, USA",http://gulfshoresbikerentals.com/,(251) 210-9037,5
GulfKayakRentals,"448 W 23rd Ave, Gulf Shores, AL 36542, USA",,(251) 381-0061,
High Wave 59,"1835 W Beach Blvd, Gulf Shores, AL 36542, USA",https://www.highwave59.com/,(251) 600-9660,5
Ike's Beach Service,"800 W Beach Blvd, Gulf Shores, AL 36542, USA",https://www.ikesbeachservice.com/,(251) 948-3757,4.8
Island Life kayak and paddle board rentals,"108 Waterway W Blvd, Gulf Shores, AL 36542, USA",,(251) 978-3321,4.7
Legendary Marina & Yacht Club Gulf Shores Alabama,"335 Waterway W Blvd, Gulf Shores, AL 36542, USA",https://www.legendarymarinagulfshores.com/,(251) 468-2377,5
Pure Aloha Adventures,"22922 Alabama's Coastal Connection, Gulf Shores, AL 36542, USA",https://purealohaadventures.com/alabama/,(251) 391-4832,5
Tambos Surf & Skate Shop,"3800 Gulf Shores Pkwy #130, Gulf Shores, AL 36542, USA",,(251) 948-7873,4.8
