name,address,website,phone,rating
The Wharf,"23101 Canal Rd, Orange Beach, AL 36561, USA",https://alwharf.com/?utm_source=GBP&utm_medium=organic&utm_campaign=website,(251) 224-1000,4.5
Gulf Shores Steamer,"27267 Perdido Beach Blvd #115, Orange Beach, AL 36561, USA",http://www.gulfshoressteamer.com/,(251) 948-6344,4.3
"Louisiana Lagniappe, Orange Beach, AL","27267 Perdido Beach Blvd #201, Orange Beach, AL 36561, USA",http://www.thelouisianalagniappe.com/,(251) 981-2258,4.6
Tacky Jacks Orange Beach,"27206 Safe Harbor Dr, Orange Beach, AL 36561, USA",http://tackyjacks.com/,(251) 981-4144,4.5
Cosmo's Restaurant & Bar,"25753 Canal Rd, Orange Beach, AL 36561, USA",http://www.cosmosrestaurantandbar.com/,(251) 948-9663,4.6
SanRoc Cay Marina - Shopping,"27267 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://sanroccay.com/,(251) 980-0016,4.6
Cafe Beignet of Alabama OB,"25405 Perdido Beach Blvd Suite 22, Orange Beach, AL 36561, USA",,(251) 981-2711,4.3
The Southern Grind Coffee House at the WHARF,"4751 Main St #116, Orange Beach, AL 36561, USA",http://www.thesoutherngrind.com/,(251) 923-3265,4.4
The Southern Grind at INDIGO,"22843 Perdido Beach Blvd, Orange Beach, AL 36561, USA",http://www.thesoutherngrind.com/,(251) 975-2883,4.4
BuzzCatz Coffee & Sweets,"25689 Canal Rd Suite A, Orange Beach, AL 36561, USA",http://www.buzzcatzcoffeeandsweets.com/,(251) 980-2899,4.5
Alabama Sweet Tea Company,"4601 Main St Suite B-108, Orange Beach, AL 36561, USA",https://alabamasweettea.com/,(251) 255-6770,5
Cotton's Restaurant,"26009 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://cottonsorangebeach.com/,(251) 981-9268,3.9
Big Fish Restaurant,"25814 Canal Rd, Orange Beach, AL 36561, USA",https://bigfishrestaurantbar.com/,(251) 981-5516,4.5
Tiki & Raw Bar,"27844 Canal Rd, Orange Beach, AL 36561, USA",https://www.tikibarorangebeach.com/,(251) 277-4800,4.4
Villaggio Grille,"4790 Main St f108, Orange Beach, AL 36561, USA",http://villaggiogrille.com/,(251) 224-6510,4.4
Island Time Daiquiris & Pizza at The Wharf,"4830 Wharf Pkwy W G101, Orange Beach, AL 36561, USA",http://islandtimedaiquiris.com/,(251) 224-0265,4.2
San Bar at the wharf,"4851 Wharf Pkwy W, Orange Beach, AL 36561, USA",,,4.5
Ruby Slipper,"24151 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,(251) 360-2400,4.5
City Donut,"25751 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://www.citydonutob.com/?utm_source=google+&utm_medium=organic&utm_campaign=gbp,(251) 981-3688,4.6
Kayden’s Homemade Candies & Ice Cream,"25241 Perdido Beach Blvd Unit 107, Orange Beach, AL 36561, USA",http://kaydenscandyfactory.com/,(251) 923-5500,4.3
Crave Cookies,"Portside at The Wharf, 4593 Main St, Orange Beach, AL 36561, USA",https://cravecookies.com/,(251) 262-6777,4.8
Bagel Boy,"3 Market St, Orange Beach, AL 36561, USA",,(251) 252-5396,4.7
Deep South Cake Company,"25405 Perdido Beach Blvd #5, Orange Beach, AL 36561, USA",https://www.facebook.com/deepsouthcakecompany/,(251) 978-3100,4.7
Publix Super Market at The Shoppes at Palm Pointe,"25771 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://www.publix.com/?setstorenumber=1213&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,(251) 980-1400,4.6
Original Romar House B & B Inn,"23500 Perdido Beach Blvd, Orange Beach, AL 36561, USA",http://www.theoriginalromarhouse.com/,(251) 974-1625,4.9
Live Bait Night Club,"24281 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://www.livebaitrestaurant.com/nightclub,(251) 974-1612,4.1
Domino's Pizza,"25814 Canal Rd Ste 6, Orange Beach, AL 36561, USA",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(251) 981-8880,3.5
Sbarro,"23679 Canal Rd, Orange Beach, AL 36561, USA",https://sbarro.com/locations/alabama/orange-beach/orange-beach/,(251) 283-3582,2.8
Smoothie King,"24824 Canal Rd, Orange Beach, AL 36561, USA",https://locations.smoothieking.com/ll/us/al/orangebeach/24824-canal-rd/?utm_source=google&utm_medium=organic&utm_content=SOCi,(251) 223-4892,4.2
Domino's Pizza,"3099 Loop Rd Suite 2, Orange Beach, AL 36561, USA",https://pizza.dominos.com/alabama/orange-beach/3099-loop-rd-unit-2/,(251) 200-5600,3.1
Surfside Pizza Orange Beach,"25405 Perdido Beach Blvd Suite 10, Orange Beach, AL 36561, USA",https://www.surfsidepizza.com/,(251) 981-2911,4.3
Latitude 30,"27200 Perdido Beach Blvd, Orange Beach, AL 36561, USA",http://www.perdidobeachresort.com/dining/latitude-30,(251) 981-9811,4.1
Daisy’s Donuts (Boba & Kolaches),"26651 Perdido Beach Blvd A, Orange Beach, AL 36561, USA",,(251) 200-0040,4.2
