name,address,website,phone,rating
Gulf Coast Veterinary Hospital,"24001 Canal Rd, Orange Beach, AL 36561, USA",https://www.gulfcoastveterinaryhospitalorangebeachal.com/,(251) 974-5633,4.6
Canal Road Animal Hospital,"22640 Canal Rd, Orange Beach, AL 36561, USA",https://www.canalroadanimalhospital.com/,(251) 968-7387,4.3
United States Postal Service,"25778 John Snook Dr, Orange Beach, AL 36561, USA",https://tools.usps.com/locations/details/1376205?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext,(800) 275-8777,3.3
Orange Beach Toys,"4 Market St, Orange Beach, AL 36561, USA",http://orangebeachtoys.com/,(850) 889-8697,5
Gulf Coast Rental Co,"25150 Canal Rd Suite B, Orange Beach, AL 36561, USA",http://www.gulfcoastrentalco.com/,(251) 510-7226,4.9
Bear Point Harbor Fueling Station,"5749 Bay La Launch Ave, Orange Beach, AL 36561, USA",http://bearpointharbor.com/,(251) 981-2327,5
All Baldwin Cleaners,"3099 Loop Rd, Orange Beach, AL 36561, USA",,(251) 981-3512,3.9
Advanced Carpet Cleaning & Restoration,"24252 Canal Rd STE A, Orange Beach, AL 36561, USA",http://callonthepros.com/,(251) 955-1234,4.9
Beach Laundry,"25299 Canal Rd STE A1, Orange Beach, AL 36561, USA",http://www.beachlaundry.net/,(251) 423-7959,4.3
Gulf Breeze Resort Services,"24705 Canal Rd, Orange Beach, AL 36561, USA",,(251) 974-1031,0
"Emerald Coast Carpet Cleaning & Restoration, LLC","25299 Canal Rd b9, Orange Beach, AL 36561, USA",http://www.emeraldcoastcarpetcleaners.com/,(251) 948-2161,5
DRI Gulf Coast,"26255 St Lucia Dr, Orange Beach, AL 36561, USA",https://www.drigulfcoast.com/,(251) 447-9285,5
Publix Pharmacy at The Shoppes at Palm Pointe,"25771 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://www.publix.com/pharmacy?utm_medium=maps&utm_source=google&utm_content=psmpharm_google_override,(251) 980-1445,4.4
Symbol Health Solutions,"7293 Roscoe Rd, Orange Beach, AL 36561, USA",http://symbolhealth.com/,(844) 779-6265,5
Orange Beach Auto & Marine,"25472 Canal Rd, Orange Beach, AL 36561, USA",http://www.orangebeachautomarine.com/,(251) 981-6823,4.8
Service Marine,"25150 Canal Rd, Orange Beach, AL 36561, USA",,(251) 509-4878,5
Coastal Energy Window Coatings,"25150 Canal Rd, Orange Beach, AL 36561, USA",,(251) 744-8468,0
Infinity Bicycles,"4575 Orange Beach Blvd, Orange Beach, AL 36561, USA",https://www.infinity-bicycles.com/?y_source=1_MTU0OTc0NjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(251) 974-1727,4.9
Coastal Carts,"25187 Canal Rd, Orange Beach, AL 36561, USA",https://coastalcartsalabama.com/,(251) 500-4557,4.8
E Bike of Orange Beach,"25405 Perdido Beach Blvd STE 21, Orange Beach, AL 36561, USA",http://ebikeoforangebeach.com/,(251) 413-0714,4.9
Cartiology Golf Cart Sales,"25856 Canal Rd, Orange Beach, AL 36561, USA",http://www.cartiologysales.com/,(251) 270-5138,4.7
"C L. Epp, Bspharm","25299 Canal Rd, Orange Beach, AL 36561, USA",,(251) 981-4376,0
Centennial Bank,"25051 Canal Rd, Orange Beach, AL 36561, USA",https://www.my100bank.com/location/25051-canal-rd?utm_source=extnet&utm_medium=yext,(251) 981-5900,4.3
Bryant Bank,"24847 Commercial Ave, Orange Beach, AL 36561, USA",http://bryantbank.com/,(251) 981-2800,5
Renasant Bank,"25556 Canal Rd, Orange Beach, AL 36561, USA",https://www.renasantbank.com/welcome,(251) 923-1000,4.4
Regions Bank,"4100 Orange Beach Blvd, Orange Beach, AL 36561, USA",https://www.regions.com/locator/al/orange-beach/full-service-branch-4100-orange-beach-blvd?cid=localListing_google,(251) 213-2240,3.4
Comprehensive Dentistry of Orange Beach,"2750 Rollins Rd, Orange Beach, AL 36561, USA",http://www.orangebeachdentistry.com/,(251) 974-1512,4.8
Doc of the Bay Dentistry Brackett John H DMD,"25771 Canal Rd, Orange Beach, AL 36561, USA",,(251) 981-2273,5
Doc of the Bay,"25771 Canal Rd, Orange Beach, AL 36561, USA",https://docofthebay.com/,(251) 981-2273,5
Orange Beach Family Dentistry,"25299 Canal Rd STE A5, Orange Beach, AL 36561, USA",http://www.orangebeachfamilydentistry.com/,(251) 321-7575,4.9
Astin George T MD,"25775 Perdido Beach Blvd STE E, Orange Beach, AL 36561, USA",,(251) 974-3004,5
Gravely Chiropractic & Wellness,"22660 Canal Rd Unit A, Orange Beach, AL 36561, USA",http://www.gravelychiropractic.com/,(251) 974-2225,4.8
"Ryan A. Forbess, MD | Orange Beach Family Medicine","22660 Canal Rd Unit B, Orange Beach, AL 36561, USA",https://obfamilymedicine.com/,(251) 424-1600,4.3
"Russell Proctor, MD","25908 Canal Rd Suite D, Orange Beach, AL 36561, USA",https://www.baldwinhealthmedicalgroup.com/doctors-providers/proctor-russell-md-7570?utm_source=gmb&utm_medium=homepage&utm_campaign=biz-listings,(251) 952-6653,4.9
HealthActions Physical Therapy - Orange Beach,"25910 Canal Rd Suite P, Orange Beach, AL 36561, USA",http://www.healthactionspa.com/,(251) 981-7778,5
ATM,"25435 Perdido Beach Blvd, Orange Beach, AL 36561, USA",http://www.cardtronics.com/,,0
Presto! ATM,"25771 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://prestoatms.publix.com/,(800) 242-1227,5
Dolphin Harbor,"28875 Perdido Beach Blvd, Orange Beach, AL 36561, USA",,,4.9
