name,address,website,phone,rating
"Alvin's Island - Orange Beach, AL #780","27433 Perdido Beach Blvd, Orange Beach, AL 36561, USA",http://www.alvinsisland.com/,(305) 471-9394 ext. 780,4.7
Beach Planet - Nothing Over $14.99,"25405 Perdido Beach Blvd Suite 4, Orange Beach, AL 36561, USA",,,3.8
Bungalows,"4776 Wharf Pkwy W #110, Orange Beach, AL 36561, USA",,(251) 224-5555,3.6
Coastal Store,"25698 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://coastalclothingcompany.com/,(251) 240-6001,5
Daxx Gift Boutique,"27267 Perdido Beach Blvd #108, Orange Beach, AL 36561, USA",https://shopdaxx.com/,,5
Emporium@C - Coastal Gifts & More - Orange Beach,"25405 Perdido Beach Blvd #11, Orange Beach, AL 36561, USA",http://www.emporiumatc.com/,(251) 981-8444,4.6
Fish On A Dish,"4830 Main St #109, Orange Beach, AL 36561, USA",,(251) 981-8323,4.5
Gifted. Orange Beach,"27267 Perdido Beach Blvd B113, Orange Beach, AL 36561, USA",,(251) 980-4438,5
Maggie's Gift Shop,"25753 Canal Rd, Orange Beach, AL 36561, USA",https://cosmosrestaurantandbar.com/maggies/,(251) 981-1968,4.1
Ron Jon Surf Shop - Orange Beach,"22723 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://www.ronjonsurfshop.com/store/orange-beach-alabama,(251) 981-8008,4.5
St Charles Place,"25241 Perdido Beach Blvd STE W, Orange Beach, AL 36561, USA",https://www.gulfshores.com/things-to-do/st-charles-place/,(251) 981-6400,4.5
"Surf Style 204: Surf, Swimwear, Sporting Goods in Orange Beach","27401 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://surfstyle.com/pages/surf-style-store-204?utm_source=google&utm_medium=organic&utm_campaign=gbl,(954) 924-9779,4.2
Tallulah's Treasures,"25122 Perdido Beach Blvd #6209, Orange Beach, AL 36561, USA",https://www.facebook.com/TALLULAHSTREASURESUSA,(251) 981-6003,4.7
The Beach Store,"25741 Perdido Beach Blvd j, Orange Beach, AL 36561, USA",,(251) 981-3155,4.5
The Orange Beach Store,"25777 Perdido Beach Blvd, Orange Beach, AL 36561, USA",https://theorangebeachstore.com/,(251) 981-0988,4.4
The Wharf Store,"4851 Wharf Pkwy E d118, Orange Beach, AL 36561, USA",https://shopthewharf.com/,(251) 224-1904,3.5
Trading Co.Orange Beach,"24891 Perdido Beach Blvd, Orange Beach, AL 36561, USA",,,4.1
