name,address,category,website,phone,rating
A Shore Thing Beach Svc.,"113 W 14th Ave, Gulf Shores, AL 36542, USA",beach-rentals,http://www.facebook.com/ashorethinginc,,4
A Specialty Bakery,"137 E Gulf Pl, Gulf Shores, AL 36542, USA",restaurant,http://www.pinkponypub.net/?utm_source=gbp&utm_medium=organic,(251) 948-6371,4.1
A Sweet Secret Bakery & Cafe,"21196 E Beach Blvd, Gulf Shores, AL 36542, USA",restaurant,https://lodgeatgulfstatepark.com/dining/,(251) 923-2940,4.7
Amberjack E-bike Rentals & Sales,"1544 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",beach-rentals,https://amberjackebikerentals.com/,(251) 290-9227,5
Anchored Coffee House,"1154 W Beach Blvd #6200, Gulf Shores, AL 36542, USA",restaurant,http://beachhousegs.com/,(251) 948-2431,4.3
Beach Bum Services,"524 W 23rd Ave, Gulf Shores, AL 36542, USA",beach-rentals,http://www.beachbumservices.com/,(251) 752-4355,4.6
Beach Bums Coffee & Deli,"138 W 1st Ave, Gulf Shores, AL 36542, USA",restaurant,https://www.desotosseafoodkitchen.com/,(251) 948-7294,4.4
Beach Girl At Home,"3947 AL-59 Suite 240, Gulf Shores, AL 36542, USA",shopping,https://www.beachgirlathome.com/,(251) 223-4914,4.9
Beach Girl Coffee,"601 W Beach Blvd, Gulf Shores, AL 36542, USA",restaurant,http://www.bahamabobs.com/,(251) 948-2100,4.5
Beach House Boutique,"3800 Gulf Shores Pkwy #320, Gulf Shores, AL 36542, USA",shopping,http://shopthebeachlife.com/,(251) 948-7467,3.3
Beach Power Rentals,"2416 Boddie Ln, Gulf Shores, AL 36542, USA",beach-rentals,https://motorizedbeachwheelchairsgulfshores.com/,(251) 351-9590,4.4
Blue Sky Parasailing and Watersports,"240 E 24th Ave, Gulf Shores, AL 36542, USA",restaurant,http://tackyjacks.com/,(251) 948-8881,4.4
Cafe Beignets of Alabama GS,"229 E 20th Ave #13, Gulf Shores, AL 36542, USA",restaurant,http://www.southernshorescoffee.com/,(251) 442-5415,4.2
Chocolate Corner & Ice Cream,"1137 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",restaurant,https://kingneptunes.website/,(251) 968-5464,4.1
Coastal Segway Adventures,"21101 AL-135, Gulf Shores, AL 36542, USA",water-sports-rental,http://www.coastalsegwayadventures.com/,(251) 509-8687,4.8
Cowbell Rolled Ice Cream,"1631 Crosswinds Ct, Gulf Shores, AL 36542, USA",restaurant,https://jessesrestaurant.com/,(251) 965-3827 ext. 2,4.7
Coyote Beach Sports,"112 E 1st Ave, Gulf Shores, AL 36542, USA",water-sports-rental,https://coyotebeachsportsal.com/,(251) 228-2080,4.9
