name,address,category,website,phone,rating
32 Charters,"28101 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,http://www.32charters.com/,(251) 223-1166,5
A2Z Powersport,"4751 Main St #116, Orange Beach, AL 36561, USA",restaurant,http://www.thesoutherngrind.com/,(251) 923-3265,4.4
Adventure Island,"24559 Perdido Beach Blvd, Orange Beach, AL 36561, USA",entertainment,http://adventure-island.com/,(251) 974-1500,4.5
Alabama Deep Sea Fishing,"27888 Canal Rd, Orange Beach, AL 36561, USA",water-activities,http://alabamadeepseafishing.com/,(251) 981-3733,4.6
Alabama Extreme Watersports,"4851 Wharf Pkwy E d130, Orange Beach, AL 36561, USA",restaurant,http://www.sandshaker.com/,(251) 923-0080,4.7
Alabama Point East,"28105 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,http://alapark.com/,,4.7
"Alvin's Island - Orange Beach, AL #780","27433 Perdido Beach Blvd, Orange Beach, AL 36561, USA",shopping,http://www.alvinsisland.com/,(305) 471-9394 ext. 780,4.7
Anonyme Cruises,"27075 Marina Rd, Orange Beach, AL 36561, USA",water-activities,http://www.anonymecruises.com/,(251) 223-6673,5
Arena The Next Level,"4720 Main St Suite 205, Orange Beach, AL 36561, USA",entertainment,http://www.arenaorangebeach.com/,(251) 224-5297,3.5
Back Bay Sailing Adventures,"5749 Bay La Launch Ave, Orange Beach, AL 36561, USA",water-activities,https://www.backbaysailing.com/,(251) 747-7899,5
Bad Ass Coffee of Hawaii,"27206 Safe Harbor Dr, Orange Beach, AL 36561, USA",restaurant,http://tackyjacks.com/,(251) 981-4144,4.5
Bagel Boy,"27370 Canal Rd, Orange Beach, AL 36561, USA",restaurant,https://www.bolorestaurantoba.com/,(251) 345-6739,4.7
Bahama Buck's - Orange Beach,"25638 Canal Rd, Orange Beach, AL 36561, USA",restaurant,http://www.bigmikessteakhouse.com/,(251) 981-2652,4.5
Bama Breeze Dolphin Cruise,"29603 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://www.bamabreeze.com/,(251) 980-5222,5
Barefoot Jet Ski Tour Co.,"26651 Perdido Beach Blvd C, Orange Beach, AL 36561, USA",restaurant,https://www.jetskisorangebeach.com/,(251) 981-1675,4.6
Bay Side Boat Rental LLC,"25142 Canal Rd, Orange Beach, AL 36561, USA",water-sports-rental,https://www.baysideorangebeach.com/,(251) 979-0609,5
Beach Bike Rentals,"4 Market St, Orange Beach, AL 36561, USA",beach-rentals,http://beachbikerentalsorangebeach.com/,(251) 968-1770,4.9
Beach Planet - Nothing Over $14.99,"25405 Perdido Beach Blvd Suite 4, Orange Beach, AL 36561, USA",shopping,,,3.8
Beachside Brew,"27267 Perdido Beach Blvd d105, Orange Beach, AL 36561, USA",restaurant,http://pelicangrillob.com/,(251) 483-3665,4.2
Beachside Circle Boat Rentals and Sales,"27200 Perdido Beach Blvd #3205, Orange Beach, AL 36561, USA",restaurant,https://voyagersrestaurant.com/,(251) 981-9811,4.7
Beachside Mini Golf,"24156 Ruby Ln, Orange Beach, AL 36561, USA",entertainment,https://beachsideminigolf.net/,(251) 292-4653,4.6
Bear Point Harbor,"4851 Wharf Pkwy W Suite D116, Orange Beach, AL 36561, USA",restaurant,https://www.yohorumandtacos.com/,(251) 923-0644,3.7
Blue Island Inshore Fishing Charters,"27212 Marina Rd, Orange Beach, AL 36561, USA",water-activities,http://blueislandfishing.com/,(251) 463-6811,5
Bungalows,"4776 Wharf Pkwy W #110, Orange Beach, AL 36561, USA",shopping,,(251) 224-5555,3.6
