name,city,address,website,phone,rating
No. 1 China,Gulf Shores,"5701 Moffett Rd unit 1, Gulf Shores, AL",https://www.beyondmenu.com/56279/mobile/no--1-china-mobile-36618.aspx,(251) 344-5700,4.3
Pedros Tacos & Tequila Bar,Gulf Shores,"13584 Perdido Key Dr, Gulf Shores, FL",https://pedrostacosandtequilaperdidokey.com/,(850) 492-1701,4.3
Siam Thai Restaurant,Gulf Shores,"7164 N 9th Ave, Gulf Shores, FL",http://www.siamdiner.com/,(850) 266-5550,4.3
Taste of India Destin,Gulf Shores,"385 Harbor Blvd, Gulf Shores, FL",http://www.destintasteofindia.com/,(850) 353-2890,4.7
The District: Seville Steak & Seafood,Gulf Shores,"123 E Government St, Gulf Shores, FL",http://www.districtsteaks.com/,(850) 332-5224,4.4
Yak The Kathmandu Kitchen-Daphne,Gulf Shores,"28600 US-98 suite d, Gulf Shores, AL",https://thekathmandukitchen.com/,(251) 264-2046,4.2
Yummy House,Gulf Shores,"1385 Shoreline Dr, Gulf Shores, FL",http://yummyhouseayce.com/,(850) 203-1156,4.6
Asian Fusion Pensacola,Gulf Shores,"10401 Chemstrand Rd, Gulf Shores, FL",https://asianfusionpensacola.com/,(850) 281-9184,4.9
Peter B's Sports Grill,Gulf Shores,"590 E 9 Mile Rd, Gulf Shores, FL",http://delunalanes.com/peter-bs.php,(850) 478-9522,4
Lauria's Italian Bar & Bistro,Gulf Shores,"25637 Canal Rd, Gulf Shores, AL",https://www.facebook.com/LauriasOrangeBeach,(251) 999-9449,4.5
Dinner India,Gulf Shores,"201 S New Warrington Rd, Gulf Shores, FL",http://www.dinnerindia.com/,(850) 466-5770,4.4
Bangkok Thai Cuisine,Gulf Shores,"3821 Airport Blvd, Gulf Shores, AL",http://www.bangkokthaicuisinemobile.com/,(251) 344-9995,4.1
Golden Chariot Indian Restaurant,Gulf Shores,"18201B Biscayne Blvd, Gulf Shores, FL",https://www.goldenchariotindianrestaurant.com/,(305) 816-6484,4.8
Shiso Japanese Restaurant,Gulf Shores,"6945 Airport Blvd, Gulf Shores, AL",https://www.dineatshiso.com/,(251) 384-8080,4.3
Mr. Teriyaki,Gulf Shores,"4104 Barrancas Ave Unit B, Gulf Shores, FL",http://mrteriyakipensacola.com/,(850) 455-9918,3.4
The Oar House,Gulf Shores,"1000 S Pace Blvd, Gulf Shores, FL",http://www.oarhousepensacola.com/,(850) 549-4444,4.5
Nippon Sushi,Gulf Shores,"Cordova Mall, Gulf Shores, FL",https://nipponsushifl.kwickmenu.com/,(850) 497-6709,4.4
Taste of Thai,Gulf Shores,"2548 Gulf Breeze Pkwy, Gulf Shores, FL",http://www.tasteofthaillc.com/,(850) 934-1233,4.4
Biryani Pot,Gulf Shores,"758 Downtowner Blvd, Gulf Shores, AL",http://www.biryanipotmobile.com/,(251) 888-0999,4.4
The Oyster House,Gulf Shores,"Gulf Shores, AL",https://www.originaloysterhouse.com/,,4.5
Thai Table LLC,Gulf Shores,"17052 US-431, Gulf Shores, AL",https://thaitablekitchenal.smiledining.com/,(256) 357-1032,4.8
Sakura Sushi & Hibachi,Gulf Shores,"4276 McCrary Rd # A, Gulf Shores, AL",http://www.sakuramm.com/,(251) 649-1689,4.6
Yak The Kathmandu Kitchen,Gulf Shores,"3210 Dauphin St, Gulf Shores, AL",https://thekathmandukitchen.com/,(251) 287-0115,4
Hurricane Grill & Wings Orange Beach,Gulf Shores,"26000 Perdido Beach Blvd, Gulf Shores, AL",https://locations.hurricanewings.com/ll/US/AL/Orange-Beach/25755-Perdido-Beach-Blvd,(251) 981-3041,4.1
Hector's Mexican Grill,Gulf Shores,"13160 Sorrento Rd r, Gulf Shores, FL",https://hectors-mexican-grill.square.site/,(850) 616-6607,4.6
